Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,temperature_max_scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Ratchaprarop,Train,-2.2870523876631763,0.8008185545744061,0.45739214880043144,-0.9749279121818236,-2.6505956169334315,-2.5779383861623892,-2.3320909285461635,0.3129492282433455,-2.3232718445142275,-0.2719075647479119,0.0
2022-01-09,Ratchaprarop,Train,-2.4864396585224706,1.286593797100024,0.3167739329267534,-0.7818314824680299,-2.6140836230339275,-2.5496723957020793,-2.266802941070826,-0.2561823538542963,-2.2580719071184987,-0.7769619908715352,0.0
2022-01-10,Ratchaprarop,Train,-1.8767747341642431,1.286593797100024,0.5980103646741062,0.0,-2.471812750253101,-2.4094730830189426,-2.2376774616282353,-0.6564652198226404,-2.24218284674475,-0.9744196439736562,1.0
2022-01-11,Ratchaprarop,Train,-1.9394027871905601,0.8355167861833788,0.7386285805477809,0.7818314824680298,-1.8385185112375626,-1.7096071592216708,-2.1373998042185107,-1.1710607540044264,-2.139908435143607,-1.4235187850252917,1.0
2022-01-12,Ratchaprarop,Train,-1.9125621930364243,0.6620256281385152,0.17615571705307861,0.9749279121818236,-1.8259281685135957,-1.7231748346426197,-2.1450232518578467,-1.1996906623538908,-2.138995270754311,-1.4189069648631951,1.0
2022-01-13,Ratchaprarop,Train,-1.9253434283479176,0.48853447009365164,0.45739214880043144,0.43388373911755823,-1.762976454893761,-1.675687970669299,-2.150496496316857,-1.2259749069871086,-2.149222711914425,-1.4578646524442034,1.0
2022-01-14,Ratchaprarop,Train,-1.7847498399214918,0.1762503856128972,-0.01133523744515551,-0.433883739117558,-1.783121003252108,-1.666642853722,-2.167698121759461,-1.3357489470783055,-2.166207569555329,-1.5436261859409772,1.0
2022-01-15,Ratchaprarop,Train,-2.357349181876389,0.48853447009365164,0.08241023980395988,-0.9749279121818236,-2.230078169952935,-2.1743000423891647,-2.160270147136518,-1.268605764862728,-2.16602493667747,-1.5423043541891561,0.0
2022-01-16,Ratchaprarop,Train,-2.5337302291749957,0.7314220913564606,0.269901194302194,-0.7818314824680299,-2.42648751644682,-2.451306748900201,-2.1710211630381453,-1.1493398709764016,-2.1724170874025415,-1.4877255980809396,0.0
2022-01-17,Ratchaprarop,Train,-1.9764683695938905,1.3906884919269422,0.36364667155131275,0.0,-1.8259281685135957,-1.7763148967080022,-2.1782536646446946,-1.0251251597037587,-2.1771655422268803,-1.4112686878920313,1.0
2022-01-18,Ratchaprarop,Train,-1.950905898970904,1.043706175837215,0.269901194302194,0.7818314824680298,-1.887620847861034,-1.7039539611296088,-2.193500559923366,-1.0960521793282865,-2.1862971861198397,-1.4415496877971696,1.0
2022-01-19,Ratchaprarop,Train,-1.8473778929478089,0.1762503856128972,-0.01133523744515551,0.9749279121818236,-1.8611811281407031,-1.7864906532737137,-2.1952598170709057,-1.1036730669913528,-2.1985335889364053,-1.508887174704999,1.0
2022-01-20,Ratchaprarop,Train,-1.888277845944587,0.7661203229654333,0.03553750117940052,0.43388373911755823,-1.8737714708646702,-1.7808374551816517,-2.185290693234851,-1.0385876550009552,-2.201455714982152,-1.5211154300131937,1.0
2022-01-21,Ratchaprarop,Train,-1.852490387072406,-0.44831778334861166,-1.323771918932801,-0.433883739117558,-1.7352777009010336,-1.6655122141035876,-2.1796219757594475,-1.009202436216036,-2.1987162218142644,-1.5077503789690354,1.0
2022-01-22,Ratchaprarop,Train,-2.344567946564896,-0.7953000994383388,-1.0425354871854482,-0.9749279121818236,-2.2993250549347533,-2.2138724290335987,-2.1899820456282884,-1.097552356074628,-2.2160663452108866,-1.625719472017096,0.0
2022-01-23,Ratchaprarop,Train,-2.436592840807647,-0.5524124781755299,0.08241023980395988,-0.7818314824680299,-2.4730717845254975,-2.4807033789789235,-2.188027315464356,-1.118877491637079,-2.2158837123330275,-1.6272241485957366,0.0
2022-01-24,Ratchaprarop,Train,-1.780915469328044,-0.20543016208580267,-0.1519534533188336,0.0,-1.9241328417605381,-1.8328468776286218,-2.173171366218471,-1.3731586282853108,-2.1833750600740927,-2.1317818037264296,1.0
2022-01-25,Ratchaprarop,Train,-1.848656016478958,0.07215569078597905,0.5511376260495469,0.7818314824680298,-1.8989521563126042,-1.7797068155632394,-2.1432639947103076,-1.194481992248708,-2.183740325829811,-2.1330373756194443,1.0
2022-01-26,Ratchaprarop,Train,-1.9406809107217093,0.03745745917700634,0.7386285805477809,0.9749279121818236,-1.7969703802484718,-1.804580887168312,-2.1276261533988494,-1.1307671626011486,-2.179357136761191,-2.1067093414971056,1.0
2022-01-27,Ratchaprarop,Train,-1.8537685106035553,0.24564684883084262,0.6448831032986656,0.43388373911755823,-1.837259476965166,-1.7638778609054657,-2.141895683595555,-1.1916405874260234,-2.162007013364568,-2.002182389886406,1.0
2022-01-28,Ratchaprarop,Train,-1.6773874633049486,0.10685392239495177,0.5042648874249874,-0.433883739117558,-1.8020065173380584,-1.7729229778527649,-2.136617912152938,-1.16349394781515,-2.159084887318821,-1.9864825426044435,1.0
2022-01-29,Ratchaprarop,Train,-2.0787182520858365,0.21094861722186992,0.8323740577968997,-0.9749279121818236,-2.2867347122107864,-2.212741789415186,-2.109838108907066,-0.9390334263876329,-2.124932539159154,-1.7302876137025456,0.0
