Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,temperature_max_scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Huamak,Train,-1.9105566861641319,0.20676236007866267,-0.9749279121818236,-2.2555185197847907,-2.217365089482363,-2.368551545576286,-1.2832466714929387,-2.2448532545932482,-1.302943195048455,0.0
2022-01-09,Huamak,Train,-2.1385508498014945,0.0616493275463899,-0.7818314824680299,-2.2268261493553174,-2.1313133671024986,-2.297270979369114,-1.5673219740823037,-2.17972478344122,-1.6011597273823397,0.0
2022-01-10,Huamak,Train,-1.4042755286752828,0.35187539261093886,0.0,-2.1648767132007727,-2.0365897657231127,-2.277877528022658,-1.680688061202951,-2.1750819617353327,-1.629284213060629,1.0
2022-01-11,Huamak,Train,-1.4109812393704995,0.6904724685195764,0.7818314824680298,-1.3882264136211628,-1.2534523853048116,-2.127610388450782,-2.044049604369157,-2.0475333320930433,-1.877395856639491,1.0
2022-01-12,Huamak,Train,-1.4606034985151017,0.25513337092275473,0.9749279121818236,-1.287803117118006,-1.2821362927647666,-2.128637856071786,-2.0460618892025,-2.072681949666599,-1.9438509689032535,1.0
2022-01-13,Huamak,Train,-1.4800500595312298,0.5937304468313958,0.43388373911755823,-1.3028014016606853,-1.2814692251494186,-2.15239804480751,-2.1105490553107087,-2.101828552598002,-2.016162098053989,1.0
2022-01-14,Huamak,Train,-1.3559944116697238,0.0616493275463899,-0.433883739117558,-1.3347542687298715,-1.3448406486074584,-2.184506407963894,-2.1940526527612074,-2.134844173617644,-2.108863295179517,1.0
2022-01-15,Huamak,Train,-1.9219563943459999,0.3035043817668468,-0.9749279121818236,-1.8936033927766602,-1.8804959437317308,-2.1807818378377535,-2.1803400241076836,-2.1317489591470524,-2.0980160929931446,0.0
2022-01-16,Huamak,Train,-2.125809999480583,0.11002033839048198,-0.7818314824680299,-2.1283591508359883,-2.1072989329499783,-2.1821946058166346,-2.173596941931804,-2.1339414027303882,-2.087434376963853,0.0
2022-01-17,Huamak,Train,-1.3707469751992,0.20676236007866267,0.0,-1.401920499507957,-1.376859894144152,-2.1816808720061323,-2.1777819375601113,-2.1314910246078367,-2.1072765415043224,1.0
2022-01-18,Huamak,Train,-1.3365478506535957,0.25513337092275473,0.7818314824680298,-1.3934432082447035,-1.3835305702976302,-2.180011237122,-2.1734870711451,-2.125042661127438,-2.0874091975985873,1.0
2022-01-19,Huamak,Train,-1.3492887009745071,-0.180205726674067,0.9749279121818236,-1.4084414927873827,-1.4328935738333661,-2.165883557333191,-2.1306028624591278,-2.1107272942009523,-2.042892809069209,1.0
2022-01-20,Huamak,Train,-1.3519709852525938,0.11002033839048198,0.43388373911755823,-1.4658262336463295,-1.452238534678452,-2.1577922498177826,-2.110908509169636,-2.089318727446028,-1.991872286205779,1.0
2022-01-21,Huamak,Train,-1.2513853248243456,-1.534594030308626,-0.433883739117558,-1.3158433882195368,-1.3288310258391116,-2.1265829208297773,-2.0424392620053506,-2.064685978950904,-1.944513751459378,1.0
2022-01-22,Huamak,Train,-1.9031804043993936,-1.728078073684991,-0.9749279121818236,-1.9007764853840288,-1.8918360931926432,-2.1196475143879985,-2.0205962697982653,-2.04456708489206,-1.880990329395652,0.0
2022-01-23,Huamak,Train,-2.0916108749349784,-0.7606578568031632,-0.7818314824680299,-2.1257507535242177,-2.09462464825837,-2.114124875925101,-2.0476206584201155,-2.0409560013430363,-1.8995233051072216,0.0
2022-01-24,Huamak,Train,-1.3036898682470348,-0.5671738134267984,0.0,-1.3934432082447035,-1.343506513376763,-2.111299339967339,-2.0707699952590195,-2.03437867059303,-1.9518665121457754,1.0
2022-01-25,Huamak,Train,-1.2694907437014304,-0.27694774836224945,0.7818314824680298,-1.3217122821710199,-1.3094860649940259,-2.0862548167053596,-2.0083417128459615,-2.021481943632232,-1.920041184470245,1.0
2022-01-26,Huamak,Train,-1.2487030405462591,-0.6639158351149809,0.9749279121818236,-1.3673592351270003,-1.3221603496856338,-2.0740536387059336,-1.974567101950267,-2.008585216671434,-1.8845410709743189,1.0
2022-01-27,Huamak,Train,-1.3016781550384697,-0.13183471582997494,0.43388373911755823,-1.3073660969562833,-1.324828620147025,-2.0379638385181584,-1.8791698388640243,-1.9892401262302375,-1.8345451591570208,1.0
2022-01-28,Huamak,Train,-1.1233062505457097,-0.035092694141794244,-0.433883739117558,-1.2806300245106375,-1.2247684778448569,-2.031028432076379,-1.8639076753455146,-1.9795675810096391,-1.8148245117730615,1.0
2022-01-29,Huamak,Train,-1.73956106343611,0.3035043817668468,-0.9749279121818236,-1.872736214282498,-1.8731581999629052,-2.0008465707093785,-1.772746864383987,-1.9549348325145157,-1.7268770932473037,0.0
2022-01-30,Huamak,Train,-1.999742638410512,0.5937304468313958,-0.7818314824680299,-2.111404568309481,-2.060604199875633,-1.9621881014690925,-1.9383737762537336,-1.923466818730169,-1.8750852888250102,0.0
2022-01-31,Huamak,Train,-1.2661378883538221,-0.13183471582997494,0.0,-1.2662838392959008,-1.2767997518419842,-1.9359876771334832,-2.1685157523022363,-1.905798302793876,-2.0245456562175725,1.0
2022-02-01,Huamak,Train,-1.1923750707064402,-0.470431791738616,0.7818314824680298,-1.2597628460164751,-1.2427793034592471,-1.9345749091546023,-2.165791794181546,-1.8985761356958295,-2.0101267460280026,1.0
