Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Banthapchang,Train,-1.6642674788913494,-2.0384774667328207,-1.9929140944624397,-2.4339146715354474,-1.4218904465688567,-2.356428483387835,-1.4081098771781826,0.0
2022-01-09,Banthapchang,Train,-1.9238001310776116,-1.9969754767712522,-1.92529017234894,-2.3334274310895475,-1.7240096020295028,-2.2600055305282094,-1.6885943728422776,0.0
2022-01-10,Banthapchang,Train,-0.9553947124721552,-1.885016620130742,-1.900788751293324,-2.309349803794442,-1.8242418957139446,-2.2531531379392002,-1.715969942095535,1.0
2022-01-11,Banthapchang,Train,-0.9689523883326316,-0.9439831268161081,-0.9315125343331593,-2.068082150694507,-2.1429615082837725,-2.0211507031398988,-2.0703863347407268,1.0
2022-01-12,Banthapchang,Train,-1.0076886050768499,-0.8995856491828023,-0.8844698059063767,-2.069801981215586,-2.1456149261541833,-2.033387118477415,-2.0885444978387833,1.0
2022-01-13,Banthapchang,Train,-1.048361632658279,-0.8493971962060217,-0.813905713266203,-2.092651158138492,-2.1828907434369307,-2.072543647557466,-2.150192164422469,1.0
2022-01-14,Banthapchang,Train,-0.9602367395651825,-0.896690161511065,-0.9364128185442824,-2.138595202058745,-2.2687263252415115,-2.1405781168340545,-2.286940186520614,1.0
2022-01-15,Banthapchang,Train,-1.7030036956355676,-1.6437259808192974,-1.6067716986259333,-2.150142635557418,-2.294265822409845,-2.1432701282083078,-2.293214553969857,0.0
2022-01-16,Banthapchang,Train,-1.8937795631008425,-1.902389546161166,-1.89784858076665,-2.1599702385350117,-2.2581575556776428,-2.1630931210550837,-2.223849384433311,0.0
2022-01-17,Banthapchang,Train,-0.9089112523790933,-0.9372269889153876,-0.9716948648643693,-2.1523538462273764,-2.2997852585406666,-2.16040110968083,-2.2384334197802542,1.0
2022-01-18,Banthapchang,Train,-0.9534579016349444,-0.9507392647168285,-0.980515376444391,-2.1405607226542633,-2.2730252494665986,-2.152080347251319,-2.22001574691378,1.0
2022-01-19,Banthapchang,Train,-0.9205321174023589,-0.9893457670066597,-1.0412789006623184,-2.136629681463226,-2.2652244010025755,-2.1373966488463,-2.188260426484155,1.0
2022-01-20,Banthapchang,Train,-0.9195637119837534,-1.0298825944109824,-1.0863615154046518,-2.114517574763639,-2.2236514374384764,-2.1060714255822592,-2.132067552086874,1.0
