Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,day_cos,Passenger_Arrival_Lag7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-01-26,Huamak,Train,2807.0,31.0,-0.22252093395631434,2631.0,534.0706659146111,2427.8571428571427,513.2083490394616,1.0
2022-01-27,Huamak,Train,2728.0,-79.0,-0.900968867902419,2723.0,561.1211141651191,2449.285714285714,527.3084847555921,1.0
2022-01-28,Huamak,Train,2994.0,266.0,-0.9009688679024191,2764.0,565.4487893110509,2460.0,532.8702155935038,1.0
2022-01-29,Huamak,Train,2075.0,-919.0,-0.2225209339563146,1856.0,591.2979669458415,2487.285714285714,557.6736543552199,0.0
2022-01-30,Huamak,Train,1687.0,-388.0,0.6234898018587334,1490.0,544.3334937158947,2522.1428571428573,515.8751233168193,0.0
2022-01-31,Huamak,Train,2781.0,1094.0,1.0,2786.0,479.07539917557614,2541.714285714286,473.723447553428,1.0
2022-02-01,Huamak,Train,2891.0,110.0,0.6234898018587336,2796.0,479.84779332815975,2549.714285714286,477.78995185671164,1.0
2022-02-02,Huamak,Train,3114.0,223.0,-0.22252093395631434,2912.0,484.5584637191928,2566.1428571428573,488.7195612248504,1.0
2022-02-03,Huamak,Train,2969.0,-145.0,-0.900968867902419,2777.0,509.23532776862464,2610.0,526.2686259569989,1.0
2022-02-04,Huamak,Train,3265.0,296.0,-0.9009688679024191,2999.0,542.4052693240319,2644.4285714285716,542.8952806152276,1.0
2022-02-05,Huamak,Train,2190.0,-1075.0,-0.2225209339563146,2157.0,565.8591865894009,2683.1428571428573,580.348868805489,0.0
2022-02-06,Huamak,Train,1765.0,-425.0,0.6234898018587334,1694.0,544.6931420971063,2699.5714285714284,561.588775155766,0.0
2022-02-07,Huamak,Train,3133.0,1368.0,1.0,2797.0,520.0710574161036,2710.714285714286,538.4461329559712,1.0
2022-02-08,Huamak,Train,3114.0,-19.0,0.6234898018587336,2855.0,546.9199906663455,2761.0,562.0246139331159,1.0
2022-02-09,Huamak,Train,3013.0,-101.0,-0.22252093395631434,3099.0,562.1944672865593,2792.8571428571427,576.7487692723273,1.0
2022-02-10,Huamak,Train,3043.0,30.0,-0.900968867902419,3125.0,559.8990130031522,2778.4285714285716,568.5812334641555,1.0
2022-02-11,Huamak,Train,3123.0,80.0,-0.9009688679024191,3191.0,558.669465273135,2789.0,573.3826529174632,1.0
2022-02-12,Huamak,Train,2110.0,-1013.0,-0.2225209339563146,2303.0,558.1224050758204,2768.714285714286,555.9834272966891,0.0
2022-02-13,Huamak,Train,1751.0,-359.0,0.6234898018587334,1773.0,579.9882182711409,2757.285714285714,570.4947309969124,0.0
2022-02-14,Huamak,Train,3088.0,1337.0,1.0,3178.0,560.0894911487246,2755.285714285714,574.5632295595551,1.0
2022-02-15,Huamak,Train,3059.0,-29.0,0.6234898018587336,3131.0,554.8530908095868,2748.8571428571427,569.8653140791055,1.0
2022-02-16,Huamak,Train,1829.0,-1230.0,-0.22252093395631434,3069.0,558.3161333526947,2741.0,564.3441621327668,0.0
2022-02-17,Huamak,Train,2974.0,1145.0,-0.900968867902419,3111.0,642.3908096952758,2571.8571428571427,641.4048197956917,1.0
2022-02-18,Huamak,Train,3075.0,101.0,-0.9009688679024191,3186.0,627.6438556409274,2562.0,633.4382369260643,1.0
2022-02-19,Huamak,Train,1966.0,-1109.0,-0.2225209339563146,2173.0,619.1167672003168,2555.1428571428573,626.5757279508547,0.0
2022-02-20,Huamak,Train,1731.0,-235.0,0.6234898018587334,1841.0,635.0377191647002,2534.5714285714284,645.6982931015741,0.0
2022-02-21,Huamak,Train,2954.0,1223.0,1.0,3127.0,667.109150774908,2531.714285714286,649.7747595092001,1.0
2022-02-22,Huamak,Train,2890.0,-64.0,0.6234898018587336,3165.0,650.9327739409625,2512.5714285714284,632.3961988982485,1.0
2022-02-23,Huamak,Train,2935.0,45.0,-0.22252093395631434,1874.0,618.1708039507714,2488.4285714285716,610.9197593636607,1.0
2022-02-24,Huamak,Train,2757.0,-178.0,-0.900968867902419,2975.0,560.836407689868,2646.4285714285716,552.1427524179051,1.0
2022-02-25,Huamak,Train,2979.0,222.0,-0.9009688679024191,3127.0,550.4869705650666,2615.4285714285716,536.5578120895144,1.0
2022-02-26,Huamak,Train,1918.0,-1061.0,-0.2225209339563146,2051.0,532.505935580601,2601.714285714286,523.9318385330026,0.0
2022-02-27,Huamak,Train,1618.0,-300.0,0.6234898018587334,1688.0,550.0172291673708,2594.8571428571427,533.8587293068679,0.0
2022-02-28,Huamak,Train,2751.0,1133.0,1.0,2999.0,595.5127842376484,2578.714285714286,565.1264502409223,1.0
2022-03-01,Huamak,Train,2800.0,49.0,0.6234898018587336,2918.0,578.1985570965836,2549.714285714286,547.595262423418,1.0
2022-03-02,Huamak,Train,2703.0,-97.0,-0.22252093395631434,2931.0,565.0993591522517,2536.8571428571427,539.2672276869266,1.0
2022-03-03,Huamak,Train,2791.0,88.0,-0.900968867902419,2834.0,552.1082968300435,2503.714285714286,517.4056159615703,1.0
2022-03-04,Huamak,Train,2838.0,47.0,-0.9009688679024191,2987.0,549.4263241912292,2508.5714285714284,520.3309386479784,1.0
2022-03-05,Huamak,Train,1884.0,-954.0,-0.2225209339563146,1959.0,541.744932074654,2488.4285714285716,501.47211858116924,0.0
2022-03-06,Huamak,Train,1562.0,-322.0,0.6234898018587334,1531.0,544.8482095304814,2483.5714285714284,508.039649746244,0.0
2022-03-07,Huamak,Train,2812.0,1250.0,1.0,2811.0,535.3088561088555,2475.5714285714284,524.1274835835453,1.0
2022-03-08,Huamak,Train,2772.0,-40.0,0.6234898018587336,2759.0,535.2169119685427,2484.285714285714,529.9448758395273,1.0
2022-03-09,Huamak,Train,2772.0,0.0,-0.22252093395631434,2799.0,541.8146757491373,2480.285714285714,527.2636008316005,1.0
2022-03-10,Huamak,Train,2742.0,-30.0,-0.900968867902419,2804.0,553.2051199707977,2490.1428571428573,532.737718009976,1.0
2022-03-11,Huamak,Train,2809.0,67.0,-0.9009688679024191,2930.0,549.7799559823911,2483.1428571428573,528.430199922825,1.0
2022-03-12,Huamak,Train,1954.0,-855.0,-0.2225209339563146,1941.0,544.5355382167011,2479.0,525.2888094499386,0.0
2022-03-13,Huamak,Train,1631.0,-323.0,0.6234898018587334,1563.0,546.528873458493,2489.0,512.5865780529184,0.0
2022-03-14,Huamak,Train,2703.0,1072.0,1.0,2810.0,520.7698970891901,2498.8571428571427,492.04079389532683,1.0
2022-03-15,Huamak,Train,2883.0,180.0,0.6234898018587336,2836.0,507.54924696549205,2483.285714285714,482.10362450608625,1.0
2022-03-16,Huamak,Train,2798.0,-85.0,-0.22252093395631434,2915.0,512.709701580961,2499.1428571428573,494.8398490324691,1.0
2022-03-17,Huamak,Train,2880.0,82.0,-0.900968867902419,2757.0,504.463552886109,2502.8571428571427,497.3206305029082,1.0
2022-03-18,Huamak,Train,2909.0,29.0,-0.9009688679024191,2884.0,524.4164557368684,2522.5714285714284,510.92949844470036,1.0
2022-03-19,Huamak,Train,2118.0,-791.0,-0.2225209339563146,1930.0,534.6605509684669,2536.8571428571427,521.5602964731341,0.0
2022-03-20,Huamak,Train,1787.0,-331.0,0.6234898018587334,1652.0,496.14504407673417,2560.285714285714,493.9681886807815,0.0
2022-03-21,Huamak,Train,3045.0,1258.0,1.0,2556.0,463.63419488500455,2582.5714285714284,446.27153809568284,1.0
2022-03-22,Huamak,Train,2827.0,-218.0,0.6234898018587336,2881.0,500.13926631917747,2631.4285714285716,479.1620662305048,1.0
2022-03-23,Huamak,Train,2786.0,-41.0,-0.22252093395631434,2848.0,504.43447825970645,2623.4285714285716,474.70863244129725,1.0
2022-03-24,Huamak,Train,2759.0,-27.0,-0.900968867902419,2941.0,511.52475153072584,2621.714285714286,473.99427362424154,1.0
2022-03-25,Huamak,Train,2936.0,177.0,-0.9009688679024191,2967.0,511.7749226257289,2604.4285714285716,465.12860484775604,1.0
