Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-09,Banthapchang,Train,-0.3068675085170324,1.2872158643299614,0,-0.7818314824680299,0.6234898018587334,-2.0026519433563417,-1.9305988050681926,-2.3423872471903566,-1.7265244310268009,-2.268220431231336,-1.6910383375119862,0.0
2022-01-10,Banthapchang,Train,0.9718797852075796,1.2872158643299614,0,0.0,1.0,-1.890499685295227,-1.9060575284397583,-2.318244629047795,-1.826812734319377,-2.261350941739124,-1.718428620459099,1.0
2022-01-11,Banthapchang,Train,-0.010346396928716566,0.8362268762718433,0,0.7818314824680298,0.6234898018587336,-0.9478406196953391,-0.9352046250188938,-2.076325741129476,-2.14571044678045,-2.0287696546456795,-2.073035503181425,1.0
2022-01-12,Banthapchang,Train,-0.0649145181585108,0.662769573172567,0,0.9749279121818236,-0.22252093395631434,-0.9033664483952418,-0.8880853738922998,-2.078050213853945,-2.148365347375537,-2.0410366001674856,-2.0912034258446734,1.0
2022-01-13,Banthapchang,Train,-0.048441123070271035,0.48931227007329087,0,0.43388373911755823,-0.900968867902419,-0.8530912982299145,-0.8174064972024088,-2.100961065764743,-2.185661994311504,-2.0802908258372654,-2.1528842265299595,1.0
2022-01-14,Banthapchang,Train,0.14512126921654625,0.17708912449459363,0,-0.433883739117558,-0.9009688679024191,-0.9004659589626268,-0.9401128803445807,-2.1470291228326914,-2.2715455408699983,-2.148495042938508,-2.2897057473200895,1.0
2022-01-15,Banthapchang,Train,-0.7773888557248808,0.48931227007329087,0,-0.9749279121818236,-0.2225209339563146,-1.648792232577307,-1.6115622088985455,-2.158607725411267,-2.297099309459006,-2.151193770953305,-2.2959834870872164,0.0
2022-01-16,Banthapchang,Train,-0.21214548675965372,0.7321524944122776,0,-0.7818314824680299,0.6234898018587334,-1.9079026218909172,-1.903112575244346,-2.1684618552653734,-2.2609708654985305,-2.1710662226986313,-2.2265810354814164,0.0
2022-01-17,Banthapchang,Train,0.9955602906469242,1.3912902461895271,0,0.0,1.0,-0.9410728110192373,-0.9754523186895262,-2.160824904628441,-2.302621829839858,-2.1683674946838334,-2.2411729093879633,1.0
2022-01-18,Banthapchang,Train,0.016422870089673056,1.0443756399909747,0,0.7818314824680298,0.6234898018587336,-0.9546084283714409,-0.9842871782757626,-2.148999948803513,-2.2758468673254684,-2.1600259717290053,-2.222745337476191,1.0
2022-01-19,Banthapchang,Train,0.0050974109665082165,0.17708912449459363,0,0.9749279121818236,-0.22252093395631434,-0.9932816208063081,-1.04514954431428,-2.1450582968618703,-2.2680416597627002,-2.145305637102838,-2.190972949344385,1.0
2022-01-20,Banthapchang,Train,0.000979062194448274,0.7668439550321328,0,0.43388373911755823,-0.900968867902419,-1.0338884728629185,-1.0903054933105991,-2.1228865046901304,-2.2264454653085104,-2.1139022565670142,-2.1347498726618808,1.0
2022-01-21,Banthapchang,Train,-0.03196772798203126,-0.4473571666628008,0,-0.433883739117558,-0.9009688679024191,-0.9459069600735958,-0.9509110420610918,-2.0901215229252257,-2.1751733860674314,-2.0707226083302563,-2.073820212905815,1.0
2022-01-22,Banthapchang,Train,-0.7248799088811165,-0.7942717728613532,0,-0.9749279121818236,-0.2225209339563146,-1.6874654250121741,-1.6910759451746729,-2.0770648008685337,-2.1515330811958555,-2.069741252688512,-2.07214543377995,0.0
2022-01-23,Banthapchang,Train,-0.23376681781296843,-0.5514315485223665,0,-0.7818314824680299,0.6234898018587334,-1.877930897753895,-1.892314413527835,-2.0642544320581955,-2.2006621916394065,-2.0562476126145253,-2.122450803160691,0.0
2022-01-24,Banthapchang,Train,0.9976194650329542,-0.20451694232381407,0,0.0,1.0,-0.8946649800973967,-0.9420761824748555,-2.058588307392084,-2.2319630775983827,-2.0479060896596972,-2.168435350088144,1.0
2022-01-25,Banthapchang,Train,-0.013435158507761523,0.0730147426350279,0,0.7818314824680298,0.6234898018587336,-0.939139151397494,-0.9253881143675201,-2.0600664268702,-2.2348361277612714,-2.0390738888839968,-2.1520426447797925,1.0
2022-01-26,Banthapchang,Train,0.0555471834242425,0.03832328201517265,0,0.9749279121818236,-0.22252093395631434,-0.9062669378278568,-0.9194982079766958,-2.0487341775379773,-2.2148375236804374,-2.0373565165109437,-2.148878702747994,1.0
2022-01-27,Banthapchang,Train,-0.024760617630926365,0.24647204573430412,0,0.43388373911755823,-0.900968867902419,-0.9053001080169852,-0.9175349058464211,-2.0253306191344738,-2.165892238428763,-2.023617537526521,-2.1210564259964197,1.0
2022-01-28,Banthapchang,Train,0.008186172545553172,0.10770620325488314,0,-0.433883739117558,-0.9009688679024191,-0.8946649800973967,-0.9469844378005423,-2.0228670866709475,-2.161681148981353,-2.016012031303001,-2.106772831083719,1.0
2022-01-29,Banthapchang,Train,-0.6909035315116221,0.2117805851144489,0,-0.9749279121818236,-0.2225209339563146,-1.6371902748468468,-1.6370851365921173,-2.002419767223676,-2.121099298962569,-1.9988383075724723,-2.077132087053753,0.0
2022-01-30,Banthapchang,Train,-0.2770094799195978,-0.06575109984439309,0,-0.7818314824680299,0.6234898018587334,-1.8556938121038464,-1.8589382773131642,-1.992565637369569,-2.1579890191902913,-1.9735683997975517,-2.16596756729715,0.0
