Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_National Holiday,holiday_category_Special Public Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-01-09,Huamak,Train,-0.2882790154659281,1.2872158643299614,-0.6380336316552435,0.06184253600715371,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.234277602300398,-2.138309176527742,-2.305664564261137,-1.569276378112282,-2.1870015564796836,-1.6031921990218634,0.0,0.0,0.0,1.0
2022-01-10,Huamak,Train,0.8825476822701062,1.2872158643299614,-0.6380336316552435,0.35191724454198875,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-2.1721894499437076,-2.0433823534659106,-2.2862221147795925,-1.6826825737079967,-2.1823484610945503,-1.6313274178986845,0.0,0.0,1.0,0.0
2022-01-11,Huamak,Train,0.008002095969309904,0.8362268762718433,-0.6380336316552435,0.6903377378326268,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-1.3938000872403553,-1.25856481632091,-2.135575320783522,-2.0461726727568714,-2.054517590652976,-1.8795337487745536,0.0,0.0,1.0,0.0
2022-01-12,Huamak,Train,-0.020593400040525397,0.662769573172567,-0.6248505839495168,0.2552256750303759,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-1.2931519244726675,-1.2873102627410422,-2.136605384332213,-2.048185669528662,-2.0797218573224474,-1.946014222423464,0.0,0.0,1.0,0.0
2022-01-13,Huamak,Train,-0.07222415672495025,0.48931227007329087,-0.6380336316552435,0.5936461683210174,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-1.3081837929379714,-1.2866417639870855,-2.1604256038956944,-2.112695650942221,-2.1089329561291166,-2.0183529478017044,0.0,0.0,1.0,0.0
2022-01-14,Huamak,Train,0.18036939136192823,0.17708912449459363,-0.6248505839495168,0.06184253600715371,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-1.340208208364054,-1.3501491456129586,-2.1926150897922905,-2.196228791636572,-2.1420216344233967,-2.1110895226533986,0.0,0.0,1.0,0.0
2022-01-15,Huamak,Train,-0.714828497612638,0.48931227007329087,-0.6380336316552435,0.30357145978618233,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-1.900308698571252,-1.8869536450400757,-2.1888811094282854,-2.1825113115090455,-2.1389195708333077,-2.1002381808295616,0.0,0.0,0.0,1.0
2022-01-16,Huamak,Train,-0.27636422546183004,0.7321524944122776,-0.6380336316552435,0.11018832076296012,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.1355901180281847,-2.1142432213853057,-2.190297446807736,-2.1757658436572536,-2.1411168658762874,-2.08965242648077,0.0,0.0,0.0,1.0
2022-01-17,Huamak,Train,0.8896965562725649,1.3912902461895271,-0.6380336316552435,0.2068798902745695,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-1.4075248367086763,-1.3822370858028734,-2.18978241503339,-2.1799523199205293,-2.1386610655341336,-2.1095021634225177,0.0,0.0,1.0,0.0
2022-01-18,Huamak,Train,0.08505107132914391,1.0443756399909747,-0.6380336316552435,0.2552256750303759,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-1.3990285632282873,-1.3889220733424392,-2.188108561766767,-2.1756559339986983,-2.1321984330547825,-2.089627237506257,0.0,0.0,1.0,0.0
2022-01-19,Huamak,Train,-0.057926408720032595,0.17708912449459363,-0.6380336316552435,-0.1798863877718749,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-1.4140604316935912,-1.4383909811352245,-2.1739451879722647,-2.132756553048616,-2.1178513889506214,-2.045093860106701,0.0,0.0,1.0,0.0
2022-01-20,Huamak,Train,0.07075332332422626,0.7668439550321328,-0.6248505839495168,0.11018832076296012,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-1.4715736675608415,-1.4577774449999648,-2.1658334375263224,-2.1130552319745077,-2.0963954491191745,-1.9940538661884983,0.0,0.0,1.0,0.0
2022-01-21,Huamak,Train,0.030243037310292913,-0.4473571666628008,0.785735520563244,-1.5335683609344355,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-1.321254982907801,-1.3341051755180013,-2.134545257234831,-2.0445617606602804,-2.0717081930480514,-1.946677257918499,0.0,0.0,1.0,0.0
2022-01-22,Huamak,Train,-0.7235660102823099,-0.7942717728613532,-0.5325692500094297,-1.7269514999576576,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-1.9074978530546585,-1.8983181238573372,-2.127592328281166,-2.0227110404885926,-2.0515447797124744,-1.8831295932958785,0.0,0.0,0.0,1.0
2022-01-23,Huamak,Train,-0.2930449314675673,-0.5514315485223665,-0.5589353454208831,-0.7600358048415432,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.132975880034219,-2.1015417450601315,-2.1220557367069515,-2.049744990232687,-2.0479257055240376,-1.901669641780617,0.0,0.0,0.0,1.0
