Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday,holiday_category_Weekend
2022-03-13,Ramkhamhaeng,Train,2033.0,93.0,1.0,32.8,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,2059.0,2313.0,2974.4285714285716,566.6950553113073,3104.714285714286,510.5264323178952,0.0,1.0
2022-03-14,Ramkhamhaeng,Train,3240.0,79.0,0.0,32.8,0,0.0,1.0,1.0,6.123233995736766e-17,3293.0,3486.0,2945.4285714285716,623.6780304887174,3064.714285714286,587.9885810358666,1.0,0.0
2022-03-15,Ramkhamhaeng,Train,3425.0,59.0,0.0,33.8,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,3440.0,3464.0,2903.8571428571427,606.0999446107403,3029.5714285714284,565.5353974016888,1.0,0.0
2022-03-16,Ramkhamhaeng,Train,3426.0,50.0,1.7,32.2,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,3219.0,3343.0,2891.4285714285716,594.0456932882228,3024.0,560.7138307550478,1.0,0.0
2022-03-17,Ramkhamhaeng,Train,3399.0,54.0,0.4,33.0,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,3201.0,3358.0,2902.8571428571427,602.1127880420819,3035.8571428571427,569.3942478843721,1.0,0.0
2022-03-18,Ramkhamhaeng,Train,3505.0,72.0,5.4,31.9,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,3353.0,3356.0,2913.714285714286,609.0302987224071,3041.714285714286,573.4566866194618,1.0,0.0
2022-03-19,Ramkhamhaeng,Train,2664.0,85.0,0.0,32.8,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,2256.0,2413.0,2916.8571428571427,611.7258178223932,3063.0,589.604669814162,0.0,1.0
2022-03-20,Ramkhamhaeng,Train,2352.0,76.0,5.5,32.0,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1856.0,2033.0,2925.1428571428573,601.5916191158881,3098.8571428571427,549.7731133753964,0.0,1.0
2022-03-21,Ramkhamhaeng,Train,3460.0,56.0,4.2,30.8,0,0.0,1.0,1.0,6.123233995736766e-17,3002.0,3240.0,2943.8571428571427,563.6294375359954,3144.4285714285716,451.0561151870345,1.0,0.0
2022-03-22,Ramkhamhaeng,Train,3404.0,56.0,6.2,30.4,0,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,3353.0,3425.0,3008.285714285714,596.2182805778754,3175.8571428571427,466.2343575826179,1.0,0.0
2022-03-23,Ramkhamhaeng,Train,3362.0,74.0,5.9,29.4,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,3299.0,3426.0,3006.714285714286,595.1718839365411,3172.8571428571427,464.4281173556102,1.0,0.0
2022-03-24,Ramkhamhaeng,Train,3426.0,70.0,3.3,30.6,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,3277.0,3399.0,3015.1428571428573,600.3958218185259,3163.714285714286,459.2148060496725,1.0,0.0
2022-03-25,Ramkhamhaeng,Train,3635.0,66.0,1.9,31.1,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,3375.0,3505.0,3014.285714285714,599.963808432285,3167.5714285714284,461.6275039260038,1.0,0.0
2022-03-26,Ramkhamhaeng,Train,2711.0,59.0,0.2,32.3,0,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,2314.0,2664.0,3050.714285714286,632.38166594911,3186.1428571428573,479.72507007362356,0.0,1.0
2022-03-27,Ramkhamhaeng,Train,2321.0,55.0,0.0,33.3,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1987.0,2352.0,3075.714285714286,601.0878233907022,3192.8571428571427,471.45675961903055,0.0,1.0
2022-03-28,Ramkhamhaeng,Train,3679.0,71.0,2.8,32.8,0,0.0,1.0,1.0,6.123233995736766e-17,3453.0,3460.0,3086.0,579.5843338117419,3188.4285714285716,480.72613726280713,1.0,0.0
