Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,temperature_max_scaled,day_sin,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Phayathai,Train,-2.39006362647919,0.4174502373827569,-0.9749279121818236,-2.722300243129312,-2.515316492382643,-2.4989582312393157,-0.6947570667065386,0.0
2022-01-09,Phayathai,Train,-2.5430999946216675,0.3236503798580048,-0.7818314824680299,-2.554435265456553,-2.467868233291867,-2.4324012563377546,-1.1722218180283472,0.0
2022-01-10,Phayathai,Train,-1.8779419239370436,0.5581500236698818,0.0,-2.3280967730562967,-2.456374555623915,-2.4205100440564427,-1.2731525490158049,1.0
2022-01-11,Phayathai,Train,-1.965962841561475,0.6988498099570098,0.7818314824680298,-1.7210234291438533,-2.339787404715151,-2.3350172998348775,-1.4370009087360789,1.0
2022-01-12,Phayathai,Train,-2.073321688057941,0.18295059357087998,0.9749279121818236,-1.7059122961243878,-2.374032669971972,-2.368549391339051,-1.5192340525646846,1.0
2022-01-13,Phayathai,Train,-2.032645354913317,0.46435016614513297,0.43388373911755823,-1.7561732385586972,-2.406922270683342,-2.4228206587651333,-1.6502869577526593,1.0
2022-01-14,Phayathai,Train,-1.7829193424106689,-0.004649121478620891,-0.433883739117558,-1.7141248684175756,-2.4404602326990585,-2.461593900706094,-1.7784972604387084,1.0
2022-01-15,Phayathai,Train,-2.3593896703373427,0.08915073604612787,-0.9749279121818236,-2.3343383279991192,-2.4370416003670523,-2.465369783278833,-1.8051452984516636,0.0
2022-01-16,Phayathai,Train,-2.5070914374116726,0.27675045109562874,-0.7818314824680299,-2.4851211553020476,-2.426844645307792,-2.4601849892983556,-1.837752969139739,0.0
2022-01-17,Phayathai,Train,-1.9126168308800016,0.37055030862038085,0.0,-1.82975788630566,-2.4260784001299287,-2.454098492016926,-1.8988099205048226,1.0
2022-01-18,Phayathai,Train,-1.9406234864877752,0.27675045109562874,0.7818314824680298,-1.9164826497217233,-2.437925729418433,-2.459959563473117,-1.9254732355982336,1.0
2022-01-19,Phayathai,Train,-1.9686301420955488,-0.051549050240996944,0.9749279121818236,-2.0222605808579823,-2.444880877955963,-2.4556764727935927,-1.9117279195670642,1.0
2022-01-20,Phayathai,Train,-1.9689635546623079,0.04225080728375183,0.43388373911755823,-1.9821832280672258,-2.437513135861122,-2.4379805455123984,-1.88749793923435,1.0
2022-01-21,Phayathai,Train,-1.7389088835984532,-1.3178471268251337,-0.433883739117558,-1.7361345621633189,-2.4191821935291573,-2.427216462357277,-1.8709184653615796,1.0
2022-01-22,Phayathai,Train,-2.2793706543151324,-1.0364475542508806,-0.9749279121818236,-2.304116061960188,-2.405330838390856,-2.4197774101244187,-1.8205732674015986,0.0
2022-01-23,Phayathai,Train,-2.4964222352753778,0.08915073604612787,-0.7818314824680299,-2.4496428429954764,-2.397196851118152,-2.40625186061013,-1.9036381959708084,0.0
2022-01-24,Phayathai,Train,-1.7859200555115018,-0.14534890776574905,0.0,-1.8639221870453213,-2.385467405703165,-2.404448454008225,-1.9231137549364943,1.0
2022-01-25,Phayathai,Train,-1.8819428747381541,0.5581500236698818,0.7818314824680298,-1.8915164299504323,-2.36389465684947,-2.3830330006106015,-1.8314806420785714,1.0
2022-01-26,Phayathai,Train,-1.865605658966953,0.6988498099570098,0.9749279121818236,-1.9191106728555434,-2.3401999982724617,-2.3731142643001233,-1.807143837254542,1.0
2022-01-27,Phayathai,Train,-1.8489350306289924,0.6519498811946338,0.43388373911755823,-1.9194391757472709,-2.3158569783911074,-2.355700119300477,-1.7717926542952922,1.0
2022-01-28,Phayathai,Train,-1.517856351837097,0.5112500949075056,-0.433883739117558,-1.6927721804552873,-2.309137597600612,-2.3354117950290445,-1.7348380787937994,1.0
2022-01-29,Phayathai,Train,-2.118332384570434,0.7926496674817586,-0.9749279121818236,-2.2252753679455854,-2.2836746809208415,-2.2980474644958226,-1.4823863275138414,0.0
2022-01-30,Phayathai,Train,-2.328382301628736,0.9333494537688868,-0.7818314824680299,-2.439130750460196,-2.2654026805256358,-2.270827296098317,-1.6165472378580796,0.0
2022-01-31,Phayathai,Train,-1.7409093589990083,-0.004649121478620891,0.0,-1.7390910881888666,-2.243358396177871,-2.242423642118311,-1.9198930696646734,1.0
2022-02-01,Phayathai,Train,-1.651221378540781,-0.09844897900337299,0.7818314824680298,-1.8336999210063902,-2.23227731206723,-2.234815520516524,-1.894822632895052,1.0
2022-02-02,Phayathai,Train,-1.6152128213307864,-0.2391487652904978,0.9749279121818236,-1.817603279311742,-2.199623479102895,-2.1958168527503252,-1.7914576626010064,1.0
2022-02-03,Phayathai,Train,-1.5525312587800548,-0.051549050240996944,0.43388373911755823,-1.8011781347253664,-2.1653192719093153,-2.1534931540618643,-1.6931099213846807,1.0
2022-02-04,Phayathai,Train,-1.249459235595933,-0.3329486228152499,-0.433883739117558,-1.4749747632399464,-2.124649335545793,-2.1033922644026877,-1.5825983206747476,1.0
2022-02-05,Phayathai,Train,-1.7709164900073373,0.04225080728375183,-0.9749279121818236,-2.0666084712411967,-2.061935114834506,-2.0580253170735117,-1.2662420154027527,0.0
2022-02-06,Phayathai,Train,-2.220023217431993,-0.2391487652904978,-0.7818314824680299,-2.2735652930295296,-2.011245049222,-1.9993018895989758,-1.4929987233066004,0.0
