Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,Passenger_Arrival_Diff,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_National Holiday,holiday_category_Special Public Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-01-09,Huamak,Train,1464.0,-360.0,117.0,0.0,32.5,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1313.0,1444.0,2186.8571428571427,649.547388204902,2238.285714285714,593.1291917409209,0.0,0.0,0.0,1.0
2022-01-10,Huamak,Train,2578.0,1114.0,117.0,0.0,33.1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,1408.0,1586.0,2208.4285714285716,617.4017754922256,2243.4285714285716,585.1973619053254,0.0,0.0,1.0,0.0
2022-01-11,Huamak,Train,2591.0,13.0,104.0,0.0,33.8,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,2599.0,2760.0,2375.5714285714284,514.3684986281261,2384.714285714286,515.2234836410682,0.0,0.0,1.0,0.0
2022-01-12,Huamak,Train,2568.0,-23.0,99.0,0.1,32.9,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2753.0,2717.0,2374.4285714285716,513.7979035713223,2356.8571428571427,496.48142918321685,0.0,0.0,1.0,0.0
2022-01-13,Huamak,Train,2480.0,-88.0,94.0,0.0,33.6,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,2730.0,2718.0,2348.0,495.5121929209548,2324.5714285714284,476.08782703154577,0.0,0.0,1.0,0.0
2022-01-14,Huamak,Train,2710.0,230.0,85.0,0.1,32.5,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,2681.0,2623.0,2312.285714285714,471.8342626691831,2288.0,449.9437001818486,0.0,0.0,1.0,0.0
2022-01-15,Huamak,Train,1813.0,-897.0,94.0,0.0,33.0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1824.0,1820.0,2316.4285714285716,475.72255820063083,2291.4285714285716,453.0028907718129,0.0,0.0,0.0,1.0
2022-01-16,Huamak,Train,1468.0,-345.0,101.0,0.0,32.6,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1464.0,1480.0,2314.8571428571427,477.6345983320406,2289.0,455.9872074228983,0.0,0.0,0.0,1.0
2022-01-17,Huamak,Train,2591.0,1123.0,120.0,0.0,32.8,0,0.0,1.0,0.49999999999999994,0.8660254037844387,2578.0,2575.0,2315.4285714285716,476.4479185048658,2291.714285714286,450.3912056148944,0.0,0.0,1.0,0.0
2022-01-18,Huamak,Train,2701.0,110.0,110.0,0.0,32.9,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,2591.0,2565.0,2317.285714285714,477.66575283201075,2298.8571428571427,455.9943086528707,0.0,0.0,1.0,0.0
2022-01-19,Huamak,Train,2631.0,-70.0,85.0,0.0,32.0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2568.0,2491.0,2333.0,489.82581938208756,2314.714285714286,468.5490775737779,0.0,0.0,1.0,0.0
2022-01-20,Huamak,Train,2723.0,92.0,102.0,0.1,32.6,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,2480.0,2462.0,2342.0,495.410267690662,2338.4285714285716,482.93818001301764,0.0,0.0,1.0,0.0
2022-01-21,Huamak,Train,2764.0,41.0,67.0,10.8,29.2,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,2710.0,2647.0,2376.714285714286,514.8251205622204,2365.714285714286,496.29450741997766,0.0,0.0,1.0,0.0
2022-01-22,Huamak,Train,1856.0,-908.0,57.0,0.8,28.8,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1813.0,1803.0,2384.4285714285716,521.0188279204688,2388.0,514.2097496806794,0.0,0.0,0.0,1.0
2022-01-23,Huamak,Train,1490.0,-366.0,64.0,0.6,30.8,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1468.0,1499.0,2390.5714285714284,513.3559055024942,2392.0,508.9829728651705,0.0,0.0,0.0,1.0
2022-01-24,Huamak,Train,2786.0,1296.0,74.0,1.7,31.2,0,0.0,1.0,0.49999999999999994,0.8660254037844387,2591.0,2625.0,2393.714285714286,506.79177653342487,2399.285714285714,494.2208393979743,0.0,0.0,1.0,0.0
2022-01-25,Huamak,Train,2796.0,10.0,82.0,0.0,31.8,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,2701.0,2676.0,2421.5714285714284,524.4936787489618,2413.5714285714284,503.19640206148074,0.0,0.0,1.0,0.0
2022-01-26,Huamak,Train,2912.0,116.0,81.0,0.3,31.0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2631.0,2657.0,2435.1428571428573,534.0706659146111,2427.8571428571427,513.2083490394616,0.0,0.0,1.0,0.0
2022-01-27,Huamak,Train,2777.0,-135.0,87.0,0.8,32.1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,2723.0,2653.0,2475.285714285714,561.1211141651191,2449.285714285714,527.3084847555921,0.0,0.0,1.0,0.0
2022-01-28,Huamak,Train,2999.0,222.0,83.0,0.6,32.3,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,2764.0,2803.0,2483.0,565.4487893110509,2460.0,532.8702155935038,0.0,0.0,1.0,0.0
2022-01-29,Huamak,Train,2157.0,-842.0,86.0,0.4,33.0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1856.0,1831.0,2516.5714285714284,591.2979669458415,2487.285714285714,557.6736543552199,0.0,0.0,0.0,1.0
2022-01-30,Huamak,Train,1694.0,-463.0,78.0,0.0,33.6,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1490.0,1550.0,2559.5714285714284,544.3334937158947,2522.1428571428573,515.8751233168193,0.0,0.0,0.0,1.0
2022-01-31,Huamak,Train,2797.0,1103.0,76.0,0.6,32.1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,2786.0,2725.0,2588.714285714286,479.07539917557614,2541.714285714286,473.723447553428,0.0,0.0,1.0,0.0
