Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,day_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Phayathai,Train,-2.3303901630185,-0.9749279121818236,-2.5491300613392953,-2.722300243129312,-2.515316492382643,-0.8319772837861463,-2.4989582312393157,-0.6947570667065386,0.0
2022-01-09,Phayathai,Train,-2.5437672440072174,-0.7818314824680299,-2.55285542417332,-2.554435265456553,-2.467868233291867,-1.0739286578346274,-2.4324012563377546,-1.1722218180283472,0.0
2022-01-10,Phayathai,Train,-1.832853909763004,0.0,-2.45599599048867,-2.3280967730562967,-2.456374555623915,-1.158630304031867,-2.4205100440564427,-1.2731525490158049,1.0
2022-01-11,Phayathai,Train,-1.935591022831646,0.7818314824680298,-1.6906032627708039,-1.7210234291438533,-2.339787404715151,-1.4578989446634165,-2.3350172998348775,-1.4370009087360789,1.0
2022-01-12,Phayathai,Train,-1.957925177846568,0.9749279121818236,-1.720406165443004,-1.7059122961243878,-2.374032669971972,-1.5392838790555958,-2.368549391339051,-1.5192340525646846,1.0
2022-01-13,Phayathai,Train,-1.9541455516132735,0.43388373911755823,-1.712955439774954,-1.7561732385586972,-2.406922270683342,-1.6219945308607244,-2.4228206587651333,-1.6502869577526593,1.0
2022-01-14,Phayathai,Train,-1.7304603990792073,-0.433883739117558,-1.7048273754098087,-1.7141248684175756,-2.4404602326990585,-1.7323439482268503,-2.461593900706094,-1.7784972604387084,1.0
2022-01-15,Phayathai,Train,-2.270946950440323,-0.9749279121818236,-2.276501235758374,-2.3343383279991192,-2.4370416003670523,-1.7122184671840088,-2.465369783278833,-1.8051452984516636,0.0
2022-01-16,Phayathai,Train,-2.539300413004233,-0.7818314824680299,-2.4868149012065133,-2.4851211553020476,-2.426844645307792,-1.7653044156149749,-2.4601849892983556,-1.837752969139739,0.0
2022-01-17,Phayathai,Train,-1.9019179891168403,0.0,-1.7861080190612633,-1.82975788630566,-2.4260784001299287,-1.7731448924402067,-2.454098492016926,-1.8988099205048226,1.0
2022-01-18,Phayathai,Train,-1.9761361042433507,0.7818314824680298,-1.887370154277034,-1.9164826497217233,-2.437925729418433,-1.813999126655386,-2.459959563473117,-1.9254732355982336,1.0
2022-01-19,Phayathai,Train,-1.9149748797409485,0.9749279121818236,-1.9093836619326365,-2.0222605808579823,-2.444880877955963,-1.8267634407634148,-2.4556764727935927,-1.9117279195670642,1.0
2022-01-20,Phayathai,Train,-1.8472852099264923,0.43388373911755823,-1.9056582990986115,-1.9821832280672258,-2.437513135861122,-1.8103214992000372,-2.4379805455123984,-1.88749793923435,1.0
2022-01-21,Phayathai,Train,-1.6497138386406427,-0.433883739117558,-1.6851845531940404,-1.7361345621633189,-2.4191821935291573,-1.760948634543153,-2.427216462357277,-1.8709184653615796,1.0
2022-01-22,Phayathai,Train,-2.2235298213317187,-0.9749279121818236,-2.217911438459617,-2.304116061960188,-2.405330838390856,-1.6720738508176387,-2.4197774101244187,-1.8205732674015986,0.0
2022-01-23,Phayathai,Train,-2.4709235384200867,-0.7818314824680299,-2.4824121996753927,-2.4496428429954764,-2.397196851118152,-1.7088692817611104,-2.40625186061013,-1.9036381959708084,0.0
2022-01-24,Phayathai,Train,-1.7761595162635864,0.0,-1.8541805581193567,-1.8639221870453213,-2.385467405703165,-1.8271105330856963,-2.404448454008225,-1.9231137549364943,1.0
2022-01-25,Phayathai,Train,-1.8380079455356784,0.7818314824680298,-1.9273331374056661,-1.8915164299504323,-2.36389465684947,-1.7612217417561598,-2.3830330006106015,-1.8314806420785714,1.0
2022-01-26,Phayathai,Train,-1.7730670947999818,0.9749279121818236,-1.8670499933641704,-1.9191106728555434,-2.3401999982724617,-1.7317226903536147,-2.3731142643001233,-1.807143837254542,1.0
2022-01-27,Phayathai,Train,-1.8081145380541672,0.43388373911755823,-1.8003321317002678,-1.9194391757472709,-2.3158569783911074,-1.6818774540980868,-2.355700119300477,-1.7717926542952922,1.0
2022-01-28,Phayathai,Train,-1.501277608387622,-0.433883739117558,-1.6055972562853242,-1.6927721804552873,-2.309137597600612,-1.667944085308134,-2.3354117950290445,-1.7348380787937994,1.0
2022-01-29,Phayathai,Train,-2.1170130820297826,-0.9749279121818236,-2.1711750683600304,-2.2252753679455854,-2.2836746809208415,-1.5079511681587725,-2.2980474644958226,-1.4823863275138414,0.0
2022-01-30,Phayathai,Train,-2.3424162464880736,-0.7818314824680299,-2.415016999314395,-2.439130750460196,-2.2654026805256358,-1.5935298508015714,-2.270827296098317,-1.6165472378580796,0.0
2022-01-31,Phayathai,Train,-1.7115622679127347,0.0,-1.730227576550888,-1.7390910881888666,-2.243358396177871,-1.8138776567618065,-2.242423642118311,-1.9198930696646734,1.0
2022-02-01,Phayathai,Train,-1.647652224331573,0.7818314824680298,-1.7911880592894793,-1.8336999210063902,-2.23227731206723,-1.784190698028883,-2.234815520516524,-1.894822632895052,1.0
2022-02-02,Phayathai,Train,-1.5730905068202177,0.9749279121818236,-1.7271795524139586,-1.817603279311742,-2.199623479102895,-1.7105870090912183,-2.1958168527503252,-1.7914576626010064,1.0
2022-02-03,Phayathai,Train,-1.571028892511148,0.43388373911755823,-1.761723825965827,-1.8011781347253664,-2.1653192719093153,-1.610156321902275,-2.1534931540618643,-1.6931099213846807,1.0
