Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Religious Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-01-09,Suvarnabhumi,Train,-0.1936281499299422,1.2872158643299614,-0.6609337581062107,0.4311485903838363,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.194807669995491,-2.310736849907593,-2.028229194893306,-0.8004911103692777,-2.243609542357184,-1.6480651444951504,0.0,0.0,0.0,0.0,1.0
2022-01-10,Suvarnabhumi,Train,0.5255197971827433,1.2872158643299614,-0.6609337581062107,0.7364877002167418,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-1.71261222299414,-2.212243688592795,-2.035675894824545,-0.6775362110514188,-2.242298065943508,-1.6737306714691125,0.0,0.0,0.0,1.0,0.0
2022-01-11,Suvarnabhumi,Train,-0.24402997186433553,0.8362268762718433,-0.6609337581062107,1.0927166616884698,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-1.8084954674987315,-2.04983047564921,-2.099800255343545,-0.8616775799445655,-2.229660202320811,-1.7152445089266657,0.0,0.0,0.0,1.0,0.0
2022-01-12,Suvarnabhumi,Train,0.06944477431298891,0.662769573172567,-0.6475928763940514,0.7364877002167418,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-1.796683763465557,-2.1197807208278827,-2.150789464594943,-1.0343310615116386,-2.252491814431626,-1.7849384251981206,0.0,0.0,0.0,1.0,0.0
2022-01-13,Suvarnabhumi,Train,0.04239989425063151,0.48931227007329087,-0.6609337581062107,1.0927166616884698,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-1.8929144110299476,-2.0433982691959987,-2.223653354894355,-1.3032676824399736,-2.2611356362490365,-1.803905525530382,0.0,0.0,0.0,1.0,0.0
2022-01-14,Suvarnabhumi,Train,0.3423522003967773,0.17708912449459363,-0.6475928763940514,0.3293688871061987,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-1.9835866096375505,-2.084001572431895,-2.2781590613355047,-1.6957906944225396,-2.2786021175766313,-2.0115138427746473,0.0,0.0,0.0,1.0,0.0
2022-01-15,Suvarnabhumi,Train,-0.3841716230965512,0.48931227007329087,-0.6609337581062107,0.6855978485779267,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-2.1753530986467333,-2.2415906305355717,-2.288967118874594,-1.9187269140278922,-2.2729985365363796,-1.9009136861094464,0.0,0.0,0.0,0.0,1.0
2022-01-16,Suvarnabhumi,Train,-0.6324927945781965,0.7321524944122776,-0.6609337581062107,0.4820384420226515,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.244833710606582,-2.3018925660344274,-2.296206966029965,-1.9102563033918993,-2.2622086624056807,-1.9543350454155917,0.0,0.0,0.0,0.0,1.0
2022-01-17,Suvarnabhumi,Train,0.27105206205056226,1.3912902461895271,-0.6475928763940514,0.6347079969391078,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-2.143392017145203,-2.1270169530877454,-2.2947589965988913,-1.9197182092504268,-2.2727004737150893,-1.7037068976279808,0.0,0.0,0.0,1.0,0.0
2022-01-18,Suvarnabhumi,Train,0.010437763267845481,1.0443756399909747,-0.6609337581062107,0.5838181453002891,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-2.151034884460786,-2.2038014176229552,-2.305153348586245,-1.9505533742161745,-2.2955320858259047,-1.6646027992913093,0.0,0.0,0.0,1.0,0.0
2022-01-19,Suvarnabhumi,Train,-0.000626051303118911,0.17708912449459363,-0.6609337581062107,0.1258094805509271,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-2.2861746747226923,-2.17807259181011,-2.313686025590789,-1.9869890894497089,-2.3060238971353133,-1.622322895426767,0.0,0.0,0.0,1.0,0.0
2022-01-20,Suvarnabhumi,Train,0.4333213424247067,0.7668439550321328,-0.6342519946818921,0.3293688871061987,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-2.259077236058351,-2.1611880498704306,-2.307377015926823,-2.044741374274084,-2.3199136246074277,-1.6114674225423404,0.0,0.0,0.0,1.0,0.0
2022-01-21,Suvarnabhumi,Train,0.2944090039225982,-0.4473571666628008,0.7798814668069896,-1.6553353268077056,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-2.0561938491355924,-2.0462123595192785,-2.3111520790864093,-2.0047929871792975,-2.3148465566454974,-1.5641809649970313,0.0,0.0,0.0,1.0,0.0
2022-01-22,Suvarnabhumi,Train,-0.582090972643803,-0.7942717728613532,-0.48750229584814025,-1.8080048817241603,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-2.2239895270186274,-2.168826295033619,-2.3263557581126886,-2.3523778885479065,-2.3121043786896296,-1.5073002448788635,0.0,0.0,0.0,0.0,1.0
