Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Religious Holiday,holiday_category_Weekday,holiday_category_Weekend
2023-10-24,Suvarnabhumi,Train,10370.0,534.0,105.0,5.4,32.0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,12227.0,10216.0,12274.857142857143,1002.5922116479504,10289.714285714286,792.1693241317047,0.0,0.0,0.0,1.0,0.0
2023-10-25,Suvarnabhumi,Train,10435.0,65.0,89.0,14.9,31.0,0,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,12232.0,10302.0,12394.142857142857,1044.7365582722077,10311.714285714286,791.9193381243332,0.0,0.0,0.0,1.0,0.0
2023-10-26,Suvarnabhumi,Train,10500.0,65.0,78.0,10.5,31.3,0,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,12863.0,10870.0,12547.666666666668,1094.7046278436023,10330.714285714286,793.2418114475656,0.0,0.0,0.0,1.0,0.0
2023-10-27,Suvarnabhumi,Train,10565.0,65.0,69.0,1.5,31.0,0,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,14001.0,11702.0,12646.0,1156.899224139592,10277.857142857143,763.0713004194649,0.0,0.0,0.0,1.0,0.0
2023-10-28,Suvarnabhumi,Train,9411.0,-1154.0,77.0,6.0,32.0,0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,12006.0,9807.0,12616.714285714286,1118.8510712229288,10115.42857142857,476.66440225906894,0.0,0.0,0.0,0.0,1.0
2023-10-29,Suvarnabhumi,Train,9488.0,77.0,83.0,16.6,31.4,0,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,10698.0,9295.0,12607.714285714286,1124.8198609451629,10058.857142857143,538.8170464302817,0.0,0.0,0.0,0.0,1.0
2023-10-30,Suvarnabhumi,Train,10670.0,1182.0,69.0,15.1,30.4,0,0.0,1.0,-0.8660254037844386,0.5000000000000001,11897.0,9836.0,12663.857142857143,1018.3866117566871,10086.42857142857,496.49130812901643,0.0,0.0,0.0,1.0,0.0
2023-10-31,Suvarnabhumi,Train,10324.0,-346.0,58.0,5.6,30.2,0,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,13062.0,10370.0,12656.0,1025.4767093803036,10205.57142857143,525.5945386394941,0.0,0.0,0.0,1.0,0.0
2023-11-01,Suvarnabhumi,Train,10080.0,-244.0,72.0,1.6,31.4,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,13306.666666666666,10435.0,12494.42857142857,1039.8450688423475,10199.0,523.4793851401506,0.0,0.0,0.0,1.0,0.0
2023-11-02,Suvarnabhumi,Train,10774.0,694.0,84.0,0.0,30.6,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,13551.333333333334,10500.0,12366.476190476189,976.4129525811492,10148.285714285714,513.9139727898189,0.0,0.0,0.0,1.0,0.0
2023-11-03,Suvarnabhumi,Train,11260.0,486.0,97.0,0.1,32.7,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,13796.0,10565.0,12364.714285714286,973.926539715336,10187.42857142857,554.0360569322144,0.0,0.0,0.0,1.0,0.0
2023-11-04,Suvarnabhumi,Train,9889.0,-1371.0,117.0,3.1,32.3,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,11943.0,9411.0,12545.285714285714,1334.1002853715866,10286.714285714286,680.7571065330734,0.0,0.0,0.0,0.0,1.0
2023-11-05,Suvarnabhumi,Train,10467.0,578.0,88.0,16.4,32.0,0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,11091.0,9488.0,12523.57142857143,1346.7145029221786,10355.0,597.1099842854564,0.0,0.0,0.0,0.0,1.0
2023-11-06,Suvarnabhumi,Train,11367.0,900.0,87.0,2.5,32.5,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,11842.0,10670.0,12599.714285714286,1264.7940167323218,10494.857142857143,458.8349116953962,0.0,0.0,0.0,1.0,0.0
