Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-01-08,Banthapchang,Train,1068.0,659.0,674.0,1363.4285714285713,598.5067131739506,1339.4285714285713,573.784761370457,0.0
2022-01-09,Banthapchang,Train,800.0,702.0,743.0,1421.857142857143,534.8555657282403,1395.7142857142858,513.8215365558078,0.0
2022-01-10,Banthapchang,Train,1800.0,818.0,768.0,1435.857142857143,513.7383992433724,1399.7142857142858,507.96906542482617,1.0
2022-01-11,Banthapchang,Train,1786.0,1793.0,1757.0,1576.142857142857,446.58982992280073,1535.142857142857,432.2003503667515,1.0
2022-01-12,Banthapchang,Train,1746.0,1839.0,1805.0,1575.142857142857,446.0308018404963,1528.0,428.31841737971826,1.0
2022-01-13,Banthapchang,Train,1704.0,1891.0,1877.0,1561.857142857143,438.17744829061667,1505.142857142857,415.1391046269624,1.0
2022-01-14,Banthapchang,Train,1795.0,1842.0,1752.0,1535.142857142857,420.0934136480553,1465.4285714285713,385.9045033609812,1.0
2022-01-15,Banthapchang,Train,1028.0,1068.0,1068.0,1528.4285714285713,414.7126945821878,1463.857142857143,384.5631411404496,0.0
2022-01-16,Banthapchang,Train,831.0,800.0,771.0,1522.7142857142858,422.3200659396117,1452.2857142857142,399.3923360497018,0.0
2022-01-17,Banthapchang,Train,1848.0,1800.0,1716.0,1527.142857142857,413.5498472862444,1453.857142857143,396.27449601315,1.0
2022-01-18,Banthapchang,Train,1802.0,1786.0,1707.0,1534.0,419.18770656274404,1458.7142857142858,400.2119081543817,1.0
2022-01-19,Banthapchang,Train,1836.0,1746.0,1645.0,1536.2857142857142,420.8312069724685,1467.2857142857142,407.0007020000964,1.0
2022-01-20,Banthapchang,Train,1837.0,1704.0,1599.0,1549.142857142857,429.58989302644926,1485.5714285714287,419.0138649825551,1.0
2022-01-21,Banthapchang,Train,1848.0,1795.0,1741.0,1568.142857142857,440.385977891905,1510.7142857142858,432.0326817443769,1.0
2022-01-22,Banthapchang,Train,1080.0,1028.0,987.0,1575.7142857142858,445.3637892351652,1511.2857142857142,432.39053115045357,0.0
2022-01-23,Banthapchang,Train,854.0,831.0,782.0,1583.142857142857,435.01893773774503,1519.142857142857,421.6418023913301,0.0
2022-01-24,Banthapchang,Train,1842.0,1848.0,1750.0,1586.4285714285713,428.4280792007206,1524.0,411.81630208949554,1.0
2022-01-25,Banthapchang,Train,1848.0,1802.0,1767.0,1585.5714285714287,427.8231165418939,1529.142857142857,415.31892507302086,1.0
2022-01-26,Banthapchang,Train,1931.0,1836.0,1773.0,1592.142857142857,432.03411461420046,1530.142857142857,415.99496333947303,1.0
2022-01-27,Banthapchang,Train,1847.0,1837.0,1775.0,1605.7142857142858,442.3402590335913,1538.142857142857,421.93973841905773,1.0
2022-01-28,Banthapchang,Train,1931.0,1848.0,1745.0,1607.142857142857,443.2269653993795,1542.5714285714287,424.99170860259426,1.0
2022-01-29,Banthapchang,Train,1120.0,1080.0,1042.0,1619.0,451.77206642288087,1552.5714285714287,431.3250348800609,0.0
2022-01-30,Banthapchang,Train,900.0,854.0,816.0,1624.7142857142858,444.0043972326227,1567.2857142857142,412.3435922810468,0.0
2022-01-31,Banthapchang,Train,1853.0,1842.0,1786.0,1631.2857142857142,430.8417011253336,1576.0,394.0592172081079,1.0
2022-02-01,Banthapchang,Train,1911.0,1848.0,1774.0,1632.857142857143,431.7574274873288,1574.7142857142858,393.2737444773528,1.0
2022-02-02,Banthapchang,Train,2068.0,1931.0,1829.0,1641.857142857143,437.6065312475078,1584.5714285714287,399.90993033551007,1.0
2022-02-03,Banthapchang,Train,2095.0,1847.0,1806.0,1661.4285714285713,455.3953802806438,1601.5714285714287,414.3025694436607,1.0
2022-02-04,Banthapchang,Train,2143.0,1931.0,1815.0,1696.857142857143,481.1567411185354,1632.2857142857142,439.2048551210529,1.0
2022-02-05,Banthapchang,Train,1271.0,1120.0,1145.0,1727.142857142857,504.4585971023548,1666.7142857142858,464.62483585710146,0.0
2022-02-06,Banthapchang,Train,907.0,900.0,877.0,1748.7142857142858,476.63008517637434,1674.5714285714287,454.6906850240276,0.0
2022-02-07,Banthapchang,Train,2010.0,1853.0,1777.0,1749.7142857142858,474.55548122627823,1673.857142857143,456.15400490456796,1.0
2022-02-08,Banthapchang,Train,2063.0,1911.0,1843.0,1772.142857142857,483.8692759315019,1701.5714285714287,469.1726253533478,1.0
2022-02-09,Banthapchang,Train,2070.0,2068.0,1948.0,1793.857142857143,494.43450141598726,1725.0,481.3487993821811,1.0
2022-02-10,Banthapchang,Train,2048.0,2095.0,2021.0,1794.142857142857,494.61986365673715,1722.2857142857142,479.9332294829201,1.0
2022-02-11,Banthapchang,Train,2097.0,2143.0,2056.0,1787.4285714285713,490.1540088390098,1710.2857142857142,472.207480628913,1.0
2022-02-12,Banthapchang,Train,1161.0,1271.0,1200.0,1780.857142857143,484.87229541101084,1702.142857142857,465.69891151953175,0.0
2022-02-13,Banthapchang,Train,885.0,907.0,872.0,1765.142857142857,505.49428897909013,1691.142857142857,480.2195430465215,0.0
2022-02-14,Banthapchang,Train,2074.0,2010.0,1971.0,1762.0,511.74863621378256,1693.5714285714287,475.4053909184099,1.0
2022-02-15,Banthapchang,Train,2055.0,2063.0,2007.0,1771.142857142857,517.4577047358324,1699.7142857142858,479.84466732673525,1.0
