Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,temperature_max,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2023-02-04,Makkasan,Train,8624.0,-4788.0,87.0,31.5,0,-0.9749279121818236,-0.2225209339563146,8123.0,8582.0,10545.857142857143,2177.944093908412,11506.714285714286,2481.930412285679,0.0
2023-02-05,Makkasan,Train,7539.0,-1085.0,77.0,32.7,0,-0.7818314824680299,0.6234898018587334,6882.0,7305.0,10498.42857142857,2242.1677648459636,11512.714285714286,2473.7187737147,0.0
2023-02-06,Makkasan,Train,12573.0,5034.0,74.0,32.5,0,0.0,1.0,11967.0,12620.0,10523.714285714286,2195.0905610996165,11546.142857142857,2408.0915976883293,1.0
2023-02-07,Makkasan,Train,12844.0,271.0,67.0,32.0,0,0.7818314824680298,0.6234898018587336,12211.0,13038.0,10502.714285714286,2179.6303749554945,11539.42857142857,2404.6615047405194,1.0
2023-02-08,Makkasan,Train,13081.0,237.0,67.0,32.8,0,0.9749279121818236,-0.22252093395631434,12120.0,13125.0,10418.285714285714,2112.8543658824738,11511.714285714286,2385.553584550532,1.0
2023-02-09,Makkasan,Train,12703.0,-378.0,75.0,32.4,0,0.43388373911755823,-0.900968867902419,10596.0,12465.0,10386.0,2084.0475842296387,11505.42857142857,2380.6471709140224,1.0
2023-02-10,Makkasan,Train,13828.0,1125.0,73.0,31.9,0,-0.433883739117558,-0.9009688679024191,11922.0,13412.0,10447.142857142857,2097.470733095109,11539.42857142857,2398.2699915524395,1.0
2023-02-11,Makkasan,Train,8962.0,-4866.0,109.0,32.6,0,-0.9749279121818236,-0.2225209339563146,7791.0,8624.0,10514.0,2158.877100099353,11598.857142857143,2456.8444143230686,0.0
2023-02-12,Makkasan,Train,7861.0,-1101.0,90.0,32.6,0,-0.7818314824680299,0.6234898018587334,7059.0,7539.0,10571.142857142857,2078.5910635629766,11647.142857142857,2391.074613959965,0.0
2023-02-13,Makkasan,Train,12750.0,4889.0,73.0,33.0,0,0.0,1.0,11820.0,12573.0,10610.57142857143,2002.0754112622753,11693.142857142857,2300.241105375071,1.0
