Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-09,Ladkrabang,Train,-0.16525399951473171,1.2872158643299614,-0.6545626845645784,0.09002973621233282,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-2.5522633074174674,-2.59976617380214,-2.5330136236169816,-1.0536927863336218,-2.480698569510897,-0.8661843652656245,0.0
2022-01-10,Ladkrabang,Train,1.021820433694248,1.2872158643299614,-0.6545626845645784,0.4215850298135738,0,0.0,1.0,0.8660254037844387,-2.4660906596626124,-2.470514708205843,-2.5008256540045983,-1.2524510843254328,-2.445646181467253,-1.0987990856884842,1.0
2022-01-11,Ladkrabang,Train,-0.18909083552294417,0.8362268762718433,-0.6545626845645784,0.7057752814717827,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-1.4663883241481945,-1.4329126649466783,-2.322277093154729,-1.6590494600357788,-2.272804986279675,-1.5703844723054936,1.0
2022-01-12,Ladkrabang,Train,-0.0001839101578605268,0.662769573172567,-0.6407231608794959,0.279489903984471,0,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-1.5231726122641107,-1.435477178152954,-2.363364089659948,-1.7550024946877893,-2.318411822656902,-1.67383313106348,1.0
2022-01-13,Ladkrabang,Train,-0.022828904365662348,0.48931227007329087,-0.6545626845645784,0.7057752814717827,0,0.43388373911755823,-0.900968867902419,0.8660254037844387,-1.5381158459788256,-1.4959996898210617,-2.393279967299693,-1.8272598068401749,-2.374185788162809,-1.8141010106841462,1.0
2022-01-14,Ladkrabang,Train,0.3907402003768236,0.17708912449459363,-0.6545626845645784,-0.004700347673737955,0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-1.4733618332150615,-1.4688158498345387,-2.423574526934877,-1.9059061262594144,-2.4230848377817042,-1.9431351350598036,1.0
2022-01-15,Ladkrabang,Train,-0.8928734186654167,0.48931227007329087,-0.6545626845645784,0.3268549459275064,0,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-2.2469232318467958,-2.176108592125388,-2.403693722174287,-1.7986510620095468,-2.4208577523535166,-1.9310622900224597,0.0
2022-01-16,Ladkrabang,Train,-0.35833237118125255,0.7321524944122776,-0.6545626845645784,0.279489903984471,0,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-2.3829066586507004,-2.4140954176677765,-2.3782273579809607,-1.9397027138796827,-2.4094318358089035,-1.9877609561312939,0.0
2022-01-17,Ladkrabang,Train,1.0760492356129314,1.3912902461895271,-0.6545626845645784,0.23212486204143562,0,0.0,1.0,0.8660254037844387,-1.526659366797544,-1.5549834935654037,-2.3834342354182576,-1.893301616194861,-2.4104969636223843,-1.9779140492713554,1.0
2022-01-18,Ladkrabang,Train,-0.08182507348598816,1.0443756399909747,-0.6545626845645784,0.3268549459275064,0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-1.6825671052210682,-1.674489808977853,-2.3800260974592993,-1.8804757040107394,-2.4097223252125803,-1.9748051766581753,1.0
