Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_National Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-01-08,Ladkrabang,Train,-2.283779538705566,0.8008185545744061,-0.6540534584951616,0.18465572775199846,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-2.7397207936882295,-2.6278706127425604,-2.6178346519199036,-0.5407498650218561,-2.557565827109112,-0.45907471187221,0.0,0.0,1.0
2022-01-09,Ladkrabang,Train,-2.420927685282448,1.286593797100024,-0.6540534584951616,0.08987576796651733,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.54019396737674,-2.5885046513822565,-2.5220516443158774,-1.0535093635783088,-2.470393436113675,-0.8660563068792628,0.0,0.0,1.0
2022-01-10,Ladkrabang,Train,-1.5573464985950485,1.286593797100024,-0.6540534584951616,0.42160562721570627,0.0,1.0,0.49999999999999994,0.8660254037844387,-2.454327945108363,-2.4596705960212613,-2.489966695955908,-1.2523442966988694,-2.4354472505761904,-1.0987710809219824,0.0,1.0,0.0
2022-01-11,Ladkrabang,Train,-1.7145896117033417,0.8355167861833788,-0.6540534584951616,0.7059455065721564,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-1.4581828197174187,-1.4254194293732714,-2.311989600053254,-1.6590994443235798,-2.2631297334921867,-1.5705593086357144,0.0,1.0,0.0
2022-01-12,Ladkrabang,Train,-1.7125801150502005,0.6620256281385152,-0.6402096210254571,0.27943568753748294,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-1.5147650540445574,-1.427975660630434,-2.352945092959803,-1.755089475534923,-2.3085983892605713,-1.6740524633428804,0.0,1.0,0.0
2022-01-13,Ladkrabang,Train,-1.7296608366019002,0.48853447009365164,-0.6540534584951616,0.7059455065721564,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-1.529655115709594,-1.4883027182994713,-2.3827652214355393,-1.827374647899817,-2.3642033695633082,-1.8143806758138525,0.0,1.0,0.0
2022-01-14,Ladkrabang,Train,-1.398093888833614,0.1762503856128972,-0.6540534584951616,-0.004904191818967157,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-1.4651315151611024,-1.4612066669735477,-2.412962819891981,-1.9060512909376186,-2.4129542637523405,-1.943470301110543,0.0,1.0,0.0
2022-01-15,Ladkrabang,Train,-2.1486408887818254,0.48853447009365164,-0.6540534584951616,0.3268256674302252,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-2.23594037402116,-2.166215247698994,-2.3931456459049407,-1.7987548724110198,-2.4107339259971963,-1.9313922632296598,0.0,0.0,1.0
2022-01-16,Ladkrabang,Train,-2.4485582642631383,0.7314220913564606,-0.6540534584951616,0.27943568753748294,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.371439935172993,-2.4034335083636837,-2.367760789702495,-1.9398609094897763,-2.3993426279490655,-1.98811531690423,0.0,0.0,1.0
2022-01-17,Ladkrabang,Train,-1.5392610287167783,1.3906884919269422,-0.6540534584951616,0.2320457076447407,0.0,1.0,0.49999999999999994,0.8660254037844387,-1.5182394017663994,-1.5470960372142113,-2.3729510019371953,-1.8934419209589817,-2.4004045286145694,-1.9782641746344518,0.0,1.0,0.0
2022-01-18,Ladkrabang,Train,-1.6060767924337207,1.043706175837215,-0.6540534584951616,0.3268256674302252,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-1.6735923784716138,-1.6662164137979887,-2.369553772110846,-1.8806110634948818,-2.399632237221476,-1.975153964814589,0.0,1.0,0.0
2022-01-19,Ladkrabang,Train,-1.588493696718736,0.1762503856128972,-0.6540534584951616,-0.1470741314971905,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-1.6716070369162757,-1.722453501455566,-2.3491703931527477,-1.8391968965935137,-2.389399376262986,-1.949620078001495,0.0,1.0,0.0
2022-01-20,Ladkrabang,Train,-1.508616204756376,0.7661203229654333,-0.6402096210254571,0.08987576796651733,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-1.6884824401366503,-1.7464820752728945,-2.3258616218441817,-1.7949590654237093,-2.356190846359963,-1.874659857541298,0.0,1.0,0.0
2022-01-21,Ladkrabang,Train,-1.339316111729236,-0.44831778334861166,1.2563961123240737,-1.663553488064922,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-1.3609010835058466,-1.4494480031905999,-2.284339923966574,-1.714618410847635,-2.3193139323397443,-1.8158168827643881,0.0,1.0,0.0
2022-01-22,Ladkrabang,Train,-2.1099580782088587,-0.7953000994383388,-0.5156150837981156,-1.663553488064922,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-2.102426154424666,-2.105888190029957,-2.273298927030938,-1.6608960192889792,-2.2983655283020807,-1.7156472095311308,0.0,0.0,1.0
