Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,day_sin,day_cos,month_sin,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-08,Suvarnabhumi,Train,-2.214904389915177,0.8008185545744061,-0.660416562261392,0.5833917813893076,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-2.3355886046935943,-2.229879282926073,-2.047495067498402,-0.37208963537184325,-2.235614359651398,-1.651919062220136,0.0
2022-01-09,Suvarnabhumi,Train,-2.285026226677857,1.286593797100024,-0.660416562261392,0.4306673549685718,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-2.1869156409155934,-2.3032879075401764,-2.022457924593093,-0.8004612306368828,-2.2362686648875494,-1.6447067330239635,0.0
2022-01-10,Suvarnabhumi,Train,-2.1826483450043432,1.286593797100024,-0.660416562261392,0.7361162078100433,0.0,1.0,0.49999999999999994,-1.705894490044113,-2.205008601362825,-2.0298916330020917,-0.6774485950689055,-2.234960054415246,-1.6703480130601718,1.0
2022-01-11,Suvarnabhumi,Train,-2.190361747048238,0.8355167861833788,-0.660416562261392,1.092473202791765,0.7818314824680298,0.6234898018587336,0.49999999999999994,-1.8015442289782115,-2.0429480311764987,-2.0939041220795835,-0.8616764317009593,-2.222349808045779,-1.7118226312399054,1.0
2022-01-12,Suvarnabhumi,Train,-2.3267487195516523,0.6620256281385152,-0.6470715830812037,0.7361162078100433,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-1.789761290124011,-2.1127463955636787,-2.1448043754912014,-1.034410986609972,-2.2451315267226937,-1.7814507057286697,1.0
2022-01-13,Suvarnabhumi,Train,-2.299401203214207,0.48853447009365164,-0.660416562261392,1.092473202791765,0.43388373911755823,-0.900968867902419,0.49999999999999994,-1.885757586083233,-2.0365297907730797,-2.2175411473542543,-1.303473892803051,-2.2537564593810555,-1.800399887313282,1.0
2022-01-14,Suvarnabhumi,Train,-2.094645439867179,0.1762503856128972,-0.6470715830812037,0.3288510706880789,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-1.976208969640478,-2.0770449333196614,-2.271951763070122,-1.6961812228316873,-2.2711847715803666,-2.0078120712012932,1.0
2022-01-15,Suvarnabhumi,Train,-2.263989675649053,0.48853447009365164,-0.660416562261392,0.6852080656698005,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-2.1675084475086748,-2.2342918232034235,-2.282740964858183,-1.919222127174346,-2.26559343592598,-1.8973164015827428,0.0
2022-01-16,Suvarnabhumi,Train,-2.275209169531082,0.7314220913564606,-0.660416562261392,0.48157549710881464,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-2.236819852533384,-2.2944628269854754,-2.289968181366932,-1.9107475389718058,-2.2548271406765767,-1.9506872922437233,0.0
2022-01-17,Suvarnabhumi,Train,-2.2531207909508377,1.3906884919269422,-0.6470715830812037,0.634299923529554,0.0,1.0,0.49999999999999994,-2.1356252011973087,-2.119966916017525,-2.2885227380651822,-1.9202138878819421,-2.265296024455002,-1.700295919843774,1.0
2022-01-18,Suvarnabhumi,Train,-2.24821226237745,1.043706175837215,-0.660416562261392,0.5833917813893076,0.7818314824680298,0.6234898018587336,0.49999999999999994,-2.1432494557500266,-2.196584660833338,-2.2988989560527435,-1.9510635321958638,-2.2880777431319173,-1.6612287642372972,1.0
2022-01-19,Suvarnabhumi,Train,-2.283974399126417,0.1762503856128972,-0.660416562261392,0.12521850212709668,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-2.278060138523086,-2.1709116992196624,-2.307416746938055,-1.987516356642448,-2.2985466269103423,-1.6189888033748323,1.0
2022-01-20,Suvarnabhumi,Train,-2.324995673632585,0.7661203229654333,-0.6337266039010153,0.3288510706880789,0.43388373911755823,-0.900968867902419,0.49999999999999994,-2.2510286905634493,-2.154063818160688,-2.301118743980431,-2.045295760356595,-2.312406001457917,-1.6081435859578113,1.0
2022-01-21,Suvarnabhumi,Train,-2.19772453990832,-0.44831778334861166,0.7808411891989527,-1.6565664727815042,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-2.0486393878912987,-2.0393377709495755,-2.3048872211599924,-2.005328614594347,-2.307350006451291,-1.5609018012452036,1.0
2022-01-22,Suvarnabhumi,Train,-2.343577960374696,-0.7953000994383388,-0.48693183291894315,-1.8092908992022416,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-2.216026431025971,-2.1616854786397477,-2.3200643758283657,-2.353076732304184,-2.3046138209182936,-1.5040748179266548,0.0
2022-01-23,Suvarnabhumi,Train,-2.3684712124254474,-0.5524124781755299,-0.5936916663604501,-0.8420361985375734,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-2.2271162558299245,-2.365063471423083,-2.3317827911675515,-2.2473943097306583,-2.3114542847507877,-1.5264196343993495,0.0
2022-01-24,Suvarnabhumi,Train,-2.178791643982396,-0.20543016208580267,-0.5269667704595082,-0.5874954878363448,0.0,1.0,0.49999999999999994,-2.2052831632471412,-2.273603545674364,-2.345514502534175,-2.13148626403994,-2.3094913690423327,-1.5586348340314742,1.0
