Date,Station_Name,Dataset_Type,Passenger_Arrival_Filled,day_sin,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-07-04,Phayathai,Train,11110.0,0.0,10401.0,10849.0,10226.714285714286,1130.3671548492116,10656.0,909.4137305612138,1.0
2022-07-05,Phayathai,Train,10427.0,0.7818314824680298,10533.0,10862.0,10328.0,1179.2925845607595,10717.857142857143,938.9748716146449,1.0
2022-07-06,Phayathai,Train,10725.0,0.9749279121818236,10350.0,10549.0,10312.857142857143,1176.8996599216969,10697.57142857143,936.873320704325,1.0
2022-07-07,Phayathai,Train,10972.0,0.43388373911755823,10591.0,10993.0,10366.42857142857,1187.3604980716464,10779.0,946.5290979855092,1.0
2022-07-08,Phayathai,Train,12031.0,-0.433883739117558,12056.0,12198.0,10420.857142857143,1207.925001613844,10799.285714285714,953.3767555878243,1.0
2022-07-09,Phayathai,Train,8341.0,-0.9749279121818236,9088.0,9678.0,10417.285714285714,1202.308573021876,10805.0,963.2265223369117,0.0
2022-07-10,Phayathai,Train,7053.0,-0.7818314824680299,8568.0,9463.0,10310.57142857143,1362.443987489987,10647.857142857143,1230.4047340301238,0.0
2022-07-11,Phayathai,Train,10995.0,0.0,11110.0,11282.0,10094.142857142857,1750.468930369938,10427.857142857143,1568.732761240872,1.0
2022-07-12,Phayathai,Train,15468.0,0.7818314824680298,10427.0,10720.0,10077.714285714286,1739.8533189405855,10402.857142857143,1554.1790360799528,1.0
2022-07-13,Phayathai,Train,7309.0,0.9749279121818236,10725.0,11119.0,10797.857142857143,2691.5137270422997,10820.857142857143,1986.9223628995683,0.0
2022-07-14,Phayathai,Train,8700.0,0.43388373911755823,10972.0,11135.0,10309.857142857143,2999.03553544421,10335.857142857143,2292.822963697171,0.0
2022-07-15,Phayathai,Train,8565.0,-0.433883739117558,12031.0,12238.0,9985.285714285714,3038.120730225936,10112.142857142857,2278.2056849321316,0.0
2022-07-16,Phayathai,Train,6982.0,-0.9749279121818236,8341.0,8578.0,9490.142857142857,2929.6519946102503,9765.714285714286,2076.513722106161,0.0
2022-07-17,Phayathai,Train,6718.0,-0.7818314824680299,7053.0,7923.0,9296.0,3060.5984164321003,9739.857142857143,2094.814584362322,0.0
2022-07-18,Phayathai,Train,10137.0,0.0,10995.0,11107.0,9248.142857142857,3103.830398532941,9778.42857142857,2057.946861732399,1.0
2022-07-19,Phayathai,Train,10112.0,0.7818314824680298,15468.0,13646.0,9125.57142857143,3039.626339817824,9793.0,2069.2517971479315,1.0
2022-07-20,Phayathai,Train,10726.0,0.9749279121818236,7309.0,7724.0,8360.42857142857,1419.1843734040738,9391.714285714286,1342.133465082809,1.0
2022-07-21,Phayathai,Train,10682.0,0.43388373911755823,8700.0,9569.0,8848.57142857143,1576.2269144112167,9853.142857142857,1223.177886841111,1.0
2022-07-22,Phayathai,Train,11620.0,-0.433883739117558,8565.0,9813.0,9131.714285714286,1716.835530298477,10253.714285714286,1534.2058438907443,1.0
2022-07-23,Phayathai,Train,7735.0,-0.9749279121818236,6982.0,8397.0,9568.142857142857,1924.5023970342263,10629.0,1718.646075645963,0.0
2022-07-24,Phayathai,Train,7358.0,-0.7818314824680299,6718.0,8193.0,9675.714285714286,1770.759414703734,10674.142857142857,1653.1501674652584,0.0
2022-07-25,Phayathai,Train,11090.0,0.0,10137.0,11209.0,9767.142857142857,1600.97599696471,10612.57142857143,1765.1912887033582,1.0
2022-07-26,Phayathai,Train,11324.0,0.7818314824680298,10112.0,10837.0,9903.285714285714,1676.4127091586288,10630.714285714286,1772.9786344158736,1.0
2022-07-27,Phayathai,Train,11982.0,0.9749279121818236,10726.0,10954.0,10076.42857142857,1761.967447404828,10681.42857142857,1784.8997971074518,1.0
2022-07-28,Phayathai,Train,7319.0,0.43388373911755823,10682.0,12373.0,10255.857142857143,1897.8528594678967,10867.0,1882.8032292302707,0.0
2022-07-29,Phayathai,Train,9233.0,-0.433883739117558,11620.0,12440.0,9775.42857142857,2177.112909117858,10254.0,2005.3052136769456,0.0
2022-07-30,Phayathai,Train,9584.0,-0.9749279121818236,7735.0,8713.0,9434.42857142857,2021.4162409181417,9902.0,1758.7331614924638,0.0
2022-07-31,Phayathai,Train,8233.0,-0.7818314824680299,7358.0,7762.0,9698.57142857143,1878.0599792643186,10117.285714285714,1679.375947019759,0.0
2022-08-01,Phayathai,Train,10974.0,0.0,11090.0,11336.0,9823.57142857143,1718.6673962834182,10260.142857142857,1475.827048197185,1.0
2022-08-02,Phayathai,Train,10923.0,0.7818314824680298,11324.0,11192.0,9807.0,1704.9256093253273,10332.42857142857,1547.9351684467358,1.0
2022-08-03,Phayathai,Train,10734.0,0.9749279121818236,11982.0,12253.0,9749.714285714286,1651.3541629307074,10406.57142857143,1607.2614241977637,1.0
2022-08-04,Phayathai,Train,10854.0,0.43388373911755823,7319.0,8082.0,9571.42857142857,1421.5626211019671,10257.42857142857,1447.9078995965956,1.0
2022-08-05,Phayathai,Train,12043.0,-0.433883739117558,9233.0,9976.0,10076.42857142857,1073.2677294354937,10756.57142857143,1143.1505962532758,1.0
2022-08-06,Phayathai,Train,9383.0,-0.9749279121818236,9584.0,10220.0,10477.857142857143,1220.6172521271653,11166.57142857143,1317.8568279777394,0.0
2022-08-07,Phayathai,Train,7885.0,-0.7818314824680299,8233.0,8762.0,10449.142857142857,1247.2235069106387,11245.857142857143,1267.1363289679628,0.0
2022-08-08,Phayathai,Train,11380.0,0.0,10974.0,11842.0,10399.42857142857,1352.7526082205923,11193.42857142857,1388.7887836939838,1.0
