Date,Station_Name,Dataset_Type,Passenger_Arrival_Scaled,pm25_filled_scaled,rain_sum_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-01-08,Ramkhamhaeng,Train,-2.078734072412522,0.8008185545744061,-0.6592778194933016,0.0896061647721078,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-2.4037174627575744,-2.349478923014136,-2.520497512837992,-0.7441958920685339,-2.306365874430092,-0.9048893218852889,0.0,0.0,0.0,1.0
2022-01-09,Ramkhamhaeng,Train,-2.3970338986275617,1.286593797100024,-0.6592778194933016,0.04037907963697959,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.503293939284129,-2.30677617779335,-2.4474535839659097,-1.0125381078267806,-2.2423880611991764,-1.1998025645230934,0.0,0.0,0.0,1.0
2022-01-10,Ramkhamhaeng,Train,-1.2984769762924702,1.286593797100024,-0.6592778194933016,0.23728742017749238,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-2.333387224091966,-2.018054631748334,-2.417483269638624,-1.1949625201416767,-2.222302003556912,-1.3206325716856593,0.0,0.0,1.0,0.0
2022-01-11,Ramkhamhaeng,Train,-1.390023386487061,0.8355167861833788,-0.6592778194933016,0.5326499309882546,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-1.389151544581423,-1.285097064525887,-2.204066752266185,-1.51967745213994,-2.0793438278684513,-1.4356063584576804,0.0,0.0,1.0,0.0
2022-01-12,Ramkhamhaeng,Train,-1.4745277651282218,0.6620256281385152,-0.6462783341678973,0.23728742017749238,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-1.3355334418363554,-1.2513172809930264,-2.1977938957790784,-1.5076161304723805,-2.108976962291298,-1.4886934939166576,0.0,0.0,1.0,0.0
2022-01-13,Ramkhamhaeng,Train,-1.394952808574462,0.48853447009365164,-0.6592778194933016,0.33574159044774526,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-1.301412830998585,-1.281910292494485,-2.2189822110244153,-1.5464944211576581,-2.1534886579306365,-1.5826113733973917,0.0,0.0,1.0,0.0
2022-01-14,Ramkhamhaeng,Train,-1.3379123529916785,0.1762503856128972,-0.6462783341678973,0.04037907963697959,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-1.267988559157504,-1.3086791775582614,-2.231249130376979,-1.5780387712925736,-2.186593456637331,-1.666206266940013,0.0,0.0,1.0,0.0
2022-01-15,Ramkhamhaeng,Train,-2.0301440546938547,0.48853447009365164,-0.6592778194933016,0.138833249907236,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,-2.0388358284924384,-2.0206040493734556,-2.238915954972331,-1.6021783828352094,-2.1936607732151647,-1.6891911971834601,0.0,0.0,0.0,1.0
2022-01-16,Ramkhamhaeng,Train,-2.334359817802034,0.7314220913564606,-0.6592778194933016,-0.008848005498145113,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,-2.353581054995953,-2.2035247639759272,-2.229297575025435,-1.6461062401449265,-2.181385960211559,-1.747452195848602,0.0,0.0,0.0,1.0
2022-01-17,Ramkhamhaeng,Train,-1.3703056981374568,1.3906884919269422,-0.6462783341678973,0.138833249907236,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-1.2672922201608148,-1.2831850013070458,-2.216891258862047,-1.7477203111586808,-2.1723348354715264,-1.8147111986647912,0.0,0.0,1.0,0.0
2022-01-18,Ramkhamhaeng,Train,-1.3196030709527602,1.043706175837215,-0.6592778194933016,0.138833249907236,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,-1.3578162897304096,-1.4374247676268999,-2.2311097335661545,-1.792420861494109,-2.187089408677881,-1.8671109548178648,0.0,0.0,1.0,0.0
2022-01-19,Ramkhamhaeng,Train,-1.3569258381859397,0.1762503856128972,-0.6592778194933016,-0.20575634603865617,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,-1.4413769693331124,-1.4801275128476858,-2.217170052483696,-1.7517464848170508,-2.1880813127589804,-1.869202712507153,0.0,0.0,1.0,0.0
2022-01-20,Ramkhamhaeng,Train,-1.3153778520207022,0.7661203229654333,-0.6592778194933016,0.0896061647721078,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,-1.362690662707234,-1.4520839189713488,-2.19389078507599,-1.7042881169794803,-2.1648955548632802,-1.8176219563240035,0.0,0.0,1.0,0.0
2022-01-21,Ramkhamhaeng,Train,-1.2287608639135124,-0.44831778334861166,0.9526583608568393,-1.5841147298222265,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,-1.3062872039754094,-1.3450083787162435,-2.178138945452812,-1.6648759551673828,-2.14654532936294,-1.7778232629116373,0.0,0.0,1.0,0.0
