Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-09,Huamak,Train,-0.2810131285432728,0.6234898018587334,-2.234277602300398,-1.569276378112282,-2.1870015564796836,-1.6031921990218634,0.0
2022-01-10,Huamak,Train,0.8950055040745488,1.0,-2.1721894499437076,-1.6826825737079967,-2.1823484610945503,-1.6313274178986845,1.0
2022-01-11,Huamak,Train,-0.01056981930015007,0.6234898018587336,-1.3938000872403553,-2.0461726727568714,-2.054517590652976,-1.8795337487745536,1.0
2022-01-12,Huamak,Train,-0.06301943078972538,-0.22252093395631434,-1.2931519244726675,-2.048185669528662,-2.0797218573224474,-1.946014222423464,1.0
2022-01-13,Huamak,Train,-0.02614079771111774,-0.900968867902419,-1.3081837929379714,-2.112695650942221,-2.1089329561291166,-2.0183529478017044,1.0
2022-01-14,Huamak,Train,0.14923759070714973,-0.9009688679024191,-1.340208208364054,-2.196228791636572,-2.1420216344233967,-2.1110895226533986,1.0
2022-01-15,Huamak,Train,-0.6940538190236785,-0.2225209339563146,-1.900308698571252,-2.1825113115090455,-2.1389195708333077,-2.1002381808295616,0.0
2022-01-16,Huamak,Train,-0.2515102220803867,0.6234898018587334,-2.1355901180281847,-2.1757658436572536,-2.1411168658762874,-2.08965242648077,0.0
2022-01-17,Huamak,Train,0.9204107846398119,1.0,-1.4075248367086763,-2.1799523199205293,-2.1386610655341336,-2.1095021634225177,1.0
2022-01-18,Huamak,Train,0.0394212166508514,0.6234898018587336,-1.3990285632282873,-2.1756559339986983,-2.1321984330547825,-2.089627237506257,1.0
2022-01-19,Huamak,Train,-0.017945545915871598,-0.22252093395631434,-1.4140604316935912,-2.132756553048616,-2.1178513889506214,-2.045093860106701,1.0
2022-01-20,Huamak,Train,-0.005652668223002384,-0.900968867902419,-1.4715736675608415,-2.1130552319745077,-2.0963954491191745,-1.9940538661884983,1.0
2022-01-21,Huamak,Train,0.12055420942378824,-0.9009688679024191,-1.321254982907801,-2.0445617606602804,-2.0717081930480514,-1.946677257918499,1.0
2022-01-22,Huamak,Train,-0.7989530420028291,-0.2225209339563146,-1.9074978530546585,-2.0227110404885926,-2.0515447797124744,-1.8831295932958785,0.0
2022-01-23,Huamak,Train,-0.23266114295132057,0.6234898018587334,-2.132975880034219,-2.049744990232687,-2.0479257055240376,-1.901669641780617,0.0
2022-01-24,Huamak,Train,0.960567518436518,1.0,-1.3990285632282873,-2.0729025172157773,-2.041333820395099,-1.9540328246523067,1.0
2022-01-25,Huamak,Train,0.0394212166508514,0.6234898018587336,-1.3271370183942244,-2.0104521479223108,-2.0284085554363958,-1.9221953514191938,1.0
2022-01-26,Huamak,Train,0.02303071306035912,-0.22252093395631434,-1.3728861832886279,-1.9766655877023216,-2.0154832904776927,-1.8866816899505006,1.0
2022-01-27,Huamak,Train,-0.06711705668734845,-0.900968867902419,-1.3127587094274118,-1.8812345734401748,-1.996095393039638,-1.8366666981026039,1.0
2022-01-28,Huamak,Train,0.2156191302486435,-0.9009688679024191,-1.285962769989261,-1.8659670102283306,-1.9864014443206106,-1.816938524692179,1.0
2022-01-29,Huamak,Train,-0.7555182074880246,-0.2225209339563146,-1.8793947946195249,-1.774773946930973,-1.9617141882494875,-1.728957542633413,0.0
2022-01-30,Huamak,Train,-0.3203503371604543,0.6234898018587334,-2.1185975710674065,-1.9404594569497244,-1.9301765417502517,-1.8772222991738825,0.0
2022-01-31,Huamak,Train,0.8941859788950243,1.0,-1.2715844610224487,-2.1706828563228098,-1.9124689287568284,-2.026739705397811,1.0
2022-02-01,Huamak,Train,0.08777320224280366,0.6234898018587336,-1.2650488660375339,-2.167957934476466,-1.9052307803799546,-2.0123152924933665,1.0
2022-02-02,Huamak,Train,0.18037954752908508,-0.22252093395631434,-1.189235964212522,-2.1513392060506806,-1.890366725677446,-1.9735465646985841,1.0
2022-02-03,Huamak,Train,-0.121205718535973,-0.900968867902419,-1.277466496508872,-2.064281936491306,-1.8506861622542272,-1.8403552107794785,1.0
2022-02-04,Huamak,Train,0.24020488563438191,-0.9009688679024191,-1.1323762878437635,-1.947262021097142,-1.8195362737037526,-1.7813783318379675,1.0
2022-02-05,Huamak,Train,-0.8833641354938643,-0.2225209339563146,-1.6826733855735894,-1.864519173646819,-1.7845088056656668,-1.6485256454721597,0.0
2022-02-06,Huamak,Train,-0.350672768802865,0.6234898018587334,-1.9852714333751444,-1.9391906569106676,-1.7696447509631585,-1.715070106450878,0.0
2022-02-07,Huamak,Train,1.1187358780847685,1.0,-1.2643953065390423,-2.026054670866977,-1.75956304429537,-1.7971600298575996,1.0
2022-02-08,Huamak,Train,-0.017945545915871598,0.6234898018587336,-1.2264888556265365,-1.931334579421574,-1.7140661116407347,-1.7135241303457533,1.0
2022-02-09,Huamak,Train,-0.08514661063688997,-0.22252093395631434,-1.0670203379946155,-1.877447901363916,-1.685242770782827,-1.661295660770432,1.0
2022-02-10,Huamak,Train,0.022211187880834506,-0.900968867902419,-1.050027791033837,-1.8855460122872285,-1.698297288391117,-1.6902669589967176,1.0
2022-02-11,Huamak,Train,0.06318744685706523,-0.9009688679024191,-1.0068928641333994,-1.8898837218095488,-1.6887325923216767,-1.6732357076917534,1.0
2022-02-12,Huamak,Train,-0.8325535743633383,-0.2225209339563146,-1.5872536987938333,-1.8918136901786013,-1.7070864685630351,-1.734952995035818,0.0
