Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,pm25_filled,rain_sum,temperature_max,Is_Long_Holiday,day_sin,day_cos,month_sin,month_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Compensatory Holiday,holiday_category_National Holiday,holiday_category_Weekday,holiday_category_Weekend
2022-11-14,Ladkrabang,Train,9386.0,51.0,15.1,31.7,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,9482.0,9433.0,9313.142857142857,1059.3320896633513,9361.857142857143,1094.8901662680698,0.0,0.0,1.0,0.0
2022-11-15,Ladkrabang,Train,9744.0,53.0,0.0,32.9,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,10082.0,10349.0,9310.285714285714,1058.8276086133903,9355.142857142857,1094.5252286679013,0.0,0.0,1.0,0.0
2022-11-16,Ladkrabang,Train,7713.0,70.0,2.5,32.8,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,9428.0,9458.0,9279.0,1035.1967606853195,9268.714285714286,1024.620371045759,0.0,0.0,1.0,0.0
2022-11-17,Ladkrabang,Train,7784.0,74.0,8.9,32.2,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,9431.0,9818.0,9079.42857142857,1131.8344780551295,9019.42857142857,1172.4970301516016,0.0,0.0,1.0,0.0
2022-11-18,Ladkrabang,Train,7955.0,69.0,5.2,31.2,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,10307.0,10410.0,8831.57142857143,1227.9071432241894,8728.857142857143,1193.4572228853363,0.0,0.0,1.0,0.0
2022-11-19,Ladkrabang,Train,6270.0,81.0,0.8,32.4,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,9405.0,8858.0,8449.285714285714,1102.1207910638786,8378.142857142857,953.7339651026948,0.0,0.0,0.0,1.0
2022-11-20,Ladkrabang,Train,6284.0,57.0,9.2,31.2,0,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,7057.0,7207.0,8027.428571428572,1232.7501581346394,8008.428571428572,1205.1855814414282,0.0,0.0,0.0,1.0
2022-11-21,Ladkrabang,Train,9653.0,59.0,0.0,31.4,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,9462.0,9386.0,7875.142857142857,1423.6696045280894,7876.571428571428,1349.3514315086013,0.0,0.0,1.0,0.0
2022-11-22,Ladkrabang,Train,9697.0,69.0,0.0,33.8,0,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,9863.0,9744.0,7884.285714285715,1435.7134944323893,7914.714285714285,1401.8817965251556,0.0,0.0,1.0,0.0
2022-11-23,Ladkrabang,Train,9308.0,79.0,12.9,32.8,0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,8031.0,7713.0,7841.285714285715,1369.5565844809996,7908.0,1391.7360860929632,0.0,0.0,1.0,0.0
2022-11-24,Ladkrabang,Train,9541.0,60.0,25.5,28.5,0,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,7696.0,7784.0,8010.0,1466.1585862382099,8135.857142857143,1482.1222878664585,0.0,0.0,1.0,0.0
2022-11-25,Ladkrabang,Train,9985.0,42.0,9.0,30.6,0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,7631.0,7955.0,8248.0,1540.0501074099386,8386.857142857143,1559.3660494542353,0.0,0.0,1.0,0.0
2022-11-26,Ladkrabang,Train,7352.0,51.0,16.9,29.9,0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,6452.0,6270.0,8587.42857142857,1639.9916521274292,8676.857142857143,1651.695838481522,0.0,0.0,0.0,1.0
