Date,Station_Name,Dataset_Type,Passenger_Departure_Filled,Passenger_Departure_Diff,pm25_filled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7,Passenger_Departure_Lag7,Passenger_Arrival_Roll_Mean_7,Passenger_Arrival_Roll_Std_7,Passenger_Departure_Roll_Mean_7,Passenger_Departure_Roll_Std_7,holiday_category_Weekday
2022-01-09,Banthapchang,Train,771.0,-297.0,117.0,0,-0.7818314824680299,0.6234898018587334,702.0,743.0,1421.857142857143,534.8555657282405,1395.7142857142858,513.8215365558079,0.0
2022-01-10,Banthapchang,Train,1716.0,945.0,117.0,0,0.0,1.0,818.0,768.0,1435.857142857143,513.7383992433726,1399.7142857142858,507.9690654248262,1.0
2022-01-11,Banthapchang,Train,1707.0,-9.0,104.0,0,0.7818314824680298,0.6234898018587336,1793.0,1757.0,1576.142857142857,446.5898299228009,1535.142857142857,432.20035036675165,1.0
2022-01-12,Banthapchang,Train,1645.0,-62.0,99.0,0,0.9749279121818236,-0.22252093395631434,1839.0,1805.0,1575.142857142857,446.03080184049645,1528.0,428.3184173797184,1.0
2022-01-13,Banthapchang,Train,1599.0,-46.0,94.0,0,0.43388373911755823,-0.900968867902419,1891.0,1877.0,1561.857142857143,438.17744829061684,1505.142857142857,415.1391046269626,1.0
2022-01-14,Banthapchang,Train,1741.0,142.0,85.0,0,-0.433883739117558,-0.9009688679024191,1842.0,1752.0,1535.142857142857,420.0934136480555,1465.4285714285713,385.9045033609814,1.0
2022-01-15,Banthapchang,Train,987.0,-754.0,94.0,0,-0.9749279121818236,-0.2225209339563146,1068.0,1068.0,1528.4285714285713,414.71269458218796,1463.857142857143,384.5631411404498,0.0
2022-01-16,Banthapchang,Train,782.0,-205.0,101.0,0,-0.7818314824680299,0.6234898018587334,800.0,771.0,1522.7142857142858,422.3200659396119,1452.2857142857142,399.3923360497019,0.0
2022-01-17,Banthapchang,Train,1750.0,968.0,120.0,0,0.0,1.0,1800.0,1716.0,1527.142857142857,413.5498472862446,1453.857142857143,396.2744960131501,1.0
2022-01-18,Banthapchang,Train,1767.0,17.0,110.0,0,0.7818314824680298,0.6234898018587336,1786.0,1707.0,1534.0,419.18770656274427,1458.7142857142858,400.2119081543819,1.0
2022-01-19,Banthapchang,Train,1773.0,6.0,85.0,0,0.9749279121818236,-0.22252093395631434,1746.0,1645.0,1536.2857142857142,420.83120697246875,1467.2857142857142,407.00070200009657,1.0
2022-01-20,Banthapchang,Train,1775.0,2.0,102.0,0,0.43388373911755823,-0.900968867902419,1704.0,1599.0,1549.142857142857,429.58989302644943,1485.5714285714287,419.0138649825553,1.0
2022-01-21,Banthapchang,Train,1745.0,-30.0,67.0,0,-0.433883739117558,-0.9009688679024191,1795.0,1741.0,1568.142857142857,440.38597789190516,1510.7142857142858,432.032681744377,1.0
2022-01-22,Banthapchang,Train,1042.0,-703.0,57.0,0,-0.9749279121818236,-0.2225209339563146,1028.0,987.0,1575.7142857142858,445.36378923516537,1511.2857142857142,432.3905311504537,0.0
2022-01-23,Banthapchang,Train,816.0,-226.0,64.0,0,-0.7818314824680299,0.6234898018587334,831.0,782.0,1583.142857142857,435.01893773774515,1519.142857142857,421.64180239133026,0.0
2022-01-24,Banthapchang,Train,1786.0,970.0,74.0,0,0.0,1.0,1848.0,1750.0,1586.4285714285713,428.4280792007208,1524.0,411.81630208949565,1.0
2022-01-25,Banthapchang,Train,1774.0,-12.0,82.0,0,0.7818314824680298,0.6234898018587336,1802.0,1767.0,1585.5714285714287,427.8231165418941,1529.142857142857,415.318925073021,1.0
2022-01-26,Banthapchang,Train,1829.0,55.0,81.0,0,0.9749279121818236,-0.22252093395631434,1836.0,1773.0,1592.142857142857,432.03411461420063,1530.142857142857,415.99496333947314,1.0
2022-01-27,Banthapchang,Train,1806.0,-23.0,87.0,0,0.43388373911755823,-0.900968867902419,1837.0,1775.0,1605.7142857142858,442.3402590335915,1538.142857142857,421.93973841905785,1.0
2022-01-28,Banthapchang,Train,1815.0,9.0,83.0,0,-0.433883739117558,-0.9009688679024191,1848.0,1745.0,1607.142857142857,443.22696539937965,1542.5714285714287,424.99170860259443,1.0
2022-01-29,Banthapchang,Train,1145.0,-670.0,86.0,0,-0.9749279121818236,-0.2225209339563146,1080.0,1042.0,1619.0,451.77206642288104,1552.5714285714287,431.3250348800611,0.0
2022-01-30,Banthapchang,Train,877.0,-268.0,78.0,0,-0.7818314824680299,0.6234898018587334,854.0,816.0,1624.7142857142858,444.00439723262286,1567.2857142857142,412.34359228104694,0.0
2022-01-31,Banthapchang,Train,1777.0,900.0,76.0,0,0.0,1.0,1842.0,1786.0,1631.2857142857142,430.84170112533377,1576.0,394.05921720810807,1.0
2022-02-01,Banthapchang,Train,1843.0,66.0,70.0,0,0.7818314824680298,0.6234898018587336,1848.0,1774.0,1632.857142857143,431.75742748732904,1574.7142857142858,393.273744477353,1.0
2022-02-02,Banthapchang,Train,1948.0,105.0,60.0,0,0.9749279121818236,-0.22252093395631434,1931.0,1829.0,1641.857142857143,437.606531247508,1584.5714285714287,399.9099303355102,1.0
2022-02-03,Banthapchang,Train,2021.0,73.0,74.0,0,0.43388373911755823,-0.900968867902419,1847.0,1806.0,1661.4285714285713,455.39538028064396,1601.5714285714287,414.3025694436608,1.0
2022-02-04,Banthapchang,Train,2056.0,35.0,78.0,0,-0.433883739117558,-0.9009688679024191,1931.0,1815.0,1696.857142857143,481.1567411185356,1632.2857142857142,439.204855121053,1.0
2022-02-05,Banthapchang,Train,1200.0,-856.0,94.0,0,-0.9749279121818236,-0.2225209339563146,1120.0,1145.0,1727.142857142857,504.458597102355,1666.7142857142858,464.6248358571016,0.0
2022-02-06,Banthapchang,Train,872.0,-328.0,112.0,0,-0.7818314824680299,0.6234898018587334,900.0,877.0,1748.7142857142858,476.63008517637445,1674.5714285714287,454.6906850240277,0.0
2022-02-07,Banthapchang,Train,1971.0,1099.0,146.0,0,0.0,1.0,1853.0,1777.0,1749.7142857142858,474.5554812262784,1673.857142857143,456.1540049045681,1.0
2022-02-08,Banthapchang,Train,2007.0,36.0,144.0,0,0.7818314824680298,0.6234898018587336,1911.0,1843.0,1772.142857142857,483.86927593150205,1701.5714285714287,469.17262535334794,1.0
2022-02-09,Banthapchang,Train,1929.0,-78.0,88.0,0,0.9749279121818236,-0.22252093395631434,2068.0,1948.0,1793.857142857143,494.4345014159874,1725.0,481.34879938218126,1.0
