Date,Station_Name,Dataset_Type,Passenger_Departure_Scaled,pm25_filled_scaled,temperature_max_scaled,Is_Long_Holiday,day_sin,day_cos,Passenger_Arrival_Lag7_scaled,Passenger_Departure_Lag7_scaled,Passenger_Arrival_Roll_Mean_7_scaled,Passenger_Arrival_Roll_Std_7_scaled,Passenger_Departure_Roll_Mean_7_scaled,Passenger_Departure_Roll_Std_7_scaled,holiday_category_Weekday
2022-01-09,Makkasan,Train,-0.24465516515741118,1.2872158643299614,0.29504628049516923,0,-0.7818314824680299,0.6234898018587334,-2.278793845249199,-2.311443630720579,-2.389423875956485,-1.6494581258978471,-2.3304091358911174,-1.656175775140111,0.0
2022-01-10,Makkasan,Train,0.7998455668552077,1.2872158643299614,0.5762910198029373,0,0.0,1.0,-2.220907277840585,-2.098674224907568,-2.3627061958289874,-1.801547318559749,-2.299332379325826,-1.8626310162026491,1.0
2022-01-11,Makkasan,Train,-0.046860692040547366,0.8362268762718433,0.7169133894568229,0,0.7818314824680298,0.6234898018587336,-1.4777408076365854,-1.4613450078020296,-2.218550354544058,-2.108097046758243,-2.1854466750453923,-2.0861265096950423,1.0
2022-01-12,Makkasan,Train,-0.061046771055076526,0.662769573172567,0.15442391084128687,0,0.9749279121818236,-0.22252093395631434,-1.4940322367875127,-1.4094579901267708,-2.228918409518908,-2.1322952539941915,-2.2002986189460736,-2.116825958208625,1.0
2022-01-13,Makkasan,Train,-0.06266803722816558,0.48931227007329087,0.4825427733670168,0,0.43388373911755823,-0.900968867902419,-1.4957653675482496,-1.4577553399125462,-2.2479265103061326,-2.1688394164309863,-2.2341211130392216,-2.2007572484478084,1.0
2022-01-14,Makkasan,Train,0.27496064331762854,0.17708912449459363,-0.03307258203055738,0,-0.433883739117558,-0.9009688679024191,-1.4767009291801434,-1.4394806670206313,-2.272318024253375,-2.2173369849107303,-2.2680060102580026,-2.2758123547331004,1.0
2022-01-15,Makkasan,Train,-0.6122772699053527,0.48931227007329087,0.06067566440536308,0,-0.9749279121818236,-0.2225209339563146,-1.962670794490781,-1.9537821755502411,-2.2677986156745944,-2.200312221197918,-2.262701744579188,-2.251528632779551,0.0
2022-01-16,Makkasan,Train,-0.2649209923210243,0.7321524944122776,0.29504628049516923,0,-0.7818314824680299,0.6234898018587334,-2.139450132085949,-2.1489295753603344,-2.251316066740218,-2.2710491214433586,-2.252966856980422,-2.2947464899523218,0.0
2022-01-17,Makkasan,Train,0.8107891135235588,1.3912902461895271,0.388794526931093,0,0.0,1.0,-1.4690751538329008,-1.5031156886978356,-2.2492557481234208,-2.2884802194872282,-2.246352125663312,-2.350730277039923,1.0
2022-01-18,Makkasan,Train,0.010694257104113824,1.0443756399909747,0.29504628049516923,0,0.7818314824680298,0.6234898018587336,-1.531814487371578,-1.5390123675926688,-2.245666806016742,-2.274961231628471,-2.238052509954108,-2.321995041131684,1.0
2022-01-19,Makkasan,Train,-0.014840685122038675,0.17708912449459363,-0.03307258203055738,0,0.9749279121818236,-0.22252093395631434,-1.5931673163016657,-1.5863307170449488,-2.2305799567905185,-2.230051734373411,-2.2208916504050014,-2.2711843376495824,1.0
2022-01-20,Makkasan,Train,-0.014030052035494152,0.7668439550321328,0.06067566440536308,0,0.43388373911755823,-0.900968867902419,-1.622977165386341,-1.6349544002752228,-2.2030647339726483,-2.1723353410859203,-2.1966168345337196,-2.2205714074569602,1.0
2022-01-21,Makkasan,Train,0.16998365861011275,-0.4473571666628008,-1.345548032133472,0,-0.433883739117558,-0.9009688679024191,-1.453130350834121,-1.41174232423826,-2.1697673266495734,-2.1256023953298433,-2.1648536435864645,-2.1832056712674435,1.0
2022-01-22,Makkasan,Train,-0.7541380600506443,-0.7942717728613532,-1.0174291696077438,0,-0.9749279121818236,-0.2225209339563146,-1.8767075087582288,-1.9028741582084778,-2.136868690671685,-2.007871609179498,-2.149252862178186,-2.1236314362573037,0.0
2022-01-23,Makkasan,Train,-0.247492380960317,-0.5514315485223665,0.06067566440536308,0,-0.7818314824680299,0.6234898018587334,-2.1287047213693797,-2.114338230243495,-2.132615129656362,-2.0260736339905736,-2.1554931747414976,-2.0918980421470352,0.0
2022-01-24,Makkasan,Train,0.9145501486012578,-0.20451694232381407,-0.17369495168444307,0,0.0,1.0,-1.450357341616942,-1.4597133405795373,-2.1296243445674627,-2.0508808600899857,-2.159050152902585,-2.062981610843238,1.0
2022-01-25,Makkasan,Train,-0.040375627348191175,0.0730147426350279,0.5294168965849754,0,0.7818314824680298,0.6234898018587336,-1.453130350834121,-1.4492706703555858,-2.11845874690224,-2.0246307220099533,-2.146631930901595,-2.0299735835268162,1.0
2022-01-26,Makkasan,Train,-0.005518404626776652,0.03832328201517265,0.7169133894568229,0,0.9749279121818236,-0.22252093395631434,-1.4496640893126471,-1.4593870071350388,-2.1076919205822042,-2.0016621409499638,-2.1420765027303776,-2.0191596155026517,1.0
2022-01-27,Makkasan,Train,-0.04159157697800796,0.24647204573430412,0.6231651430208992,0,0.43388373911755823,-0.900968867902419,-1.4493174631604997,-1.4688506770254948,-2.0930703045920316,-1.9701236208481712,-2.136085802669599,-2.0059681812760535,1.0
2022-01-28,Makkasan,Train,0.33373154209210654,0.10770620325488314,0.4825427733670168,0,-0.433883739117558,-0.9009688679024191,-1.281550405521164,-1.3301589631136392,-2.0853607252517588,-1.956656017276447,-2.1343385151518715,-2.00275236020521,1.0
