Station,Direction,params,mean_test_score,rank_test_score,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,RMSE
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1453.4598160941075,32,absolute_error,10,4,20,1453.4598160941075
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1455.899927342141,33,squared_error,20,1,5,1455.899927342141
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1455.899927342141,33,squared_error,30,1,5,1455.899927342141
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1455.899927342141,33,squared_error,,1,5,1455.899927342141
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1458.2540146024323,36,absolute_error,10,2,20,1458.2540146024323
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1461.0580087974108,37,absolute_error,20,2,20,1461.0580087974108
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1461.0580087974108,37,absolute_error,30,2,20,1461.0580087974108
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1461.0580087974108,37,absolute_error,,2,20,1461.0580087974108
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1462.5564130482503,40,absolute_error,10,2,10,1462.5564130482503
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1466.3921990124331,41,squared_error,10,2,10,1466.3921990124331
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1466.8324168930628,42,squared_error,30,4,20,1466.8324168930628
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1466.8324168930628,42,squared_error,20,4,20,1466.8324168930628
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1466.8324168930628,42,squared_error,,4,20,1466.8324168930628
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 20}",-1466.8324168930628,42,squared_error,10,4,20,1466.8324168930628
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1467.6072830831272,46,squared_error,10,2,20,1467.6072830831272
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1468.4261680009865,47,squared_error,,2,20,1468.4261680009865
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1468.4261680009865,47,squared_error,20,2,20,1468.4261680009865
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 20}",-1468.4261680009865,47,squared_error,30,2,20,1468.4261680009865
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1468.4893730384938,50,squared_error,20,2,10,1468.4893730384938
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1468.4893730384938,50,squared_error,,2,10,1468.4893730384938
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1468.4893730384938,50,squared_error,30,2,10,1468.4893730384938
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",-1472.3072557912378,53,squared_error,10,1,5,1472.3072557912378
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}",-1472.7554921167036,54,squared_error,20,1,2,1472.7554921167036
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1473.9413245619921,55,squared_error,10,1,10,1473.9413245619921
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",-1475.8324381270768,56,squared_error,,1,2,1475.8324381270768
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}",-1475.8324381270768,56,squared_error,30,1,2,1475.8324381270768
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1476.1526609240088,58,squared_error,20,1,10,1476.1526609240088
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1476.1526609240088,58,squared_error,,1,10,1476.1526609240088
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1476.1526609240088,58,squared_error,30,1,10,1476.1526609240088
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1479.0645450847364,61,absolute_error,10,1,20,1479.0645450847364
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1479.6590445423408,62,squared_error,10,2,5,1479.6590445423408
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",-1482.2665213711614,63,squared_error,10,1,20,1482.2665213711614
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",-1482.46716208318,64,squared_error,10,2,2,1482.46716208318
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1482.6097248808603,65,poisson,,1,10,1482.6097248808603
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1482.6097248808603,65,poisson,30,1,10,1482.6097248808603
Suvarnabhumi,Arrival,"{'criterion': 'poisson', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",-1482.6097248808603,65,poisson,20,1,10,1482.6097248808603
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1483.1931311514404,68,absolute_error,,2,10,1483.1931311514404
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1483.1931311514404,68,absolute_error,30,2,10,1483.1931311514404
Suvarnabhumi,Arrival,"{'criterion': 'absolute_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",-1483.1931311514404,68,absolute_error,20,2,10,1483.1931311514404
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1483.2987059458992,71,squared_error,30,2,5,1483.2987059458992
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1483.2987059458992,71,squared_error,,2,5,1483.2987059458992
Suvarnabhumi,Arrival,"{'criterion': 'squared_error', 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",-1483.2987059458992,71,squared_error,20,2,5,1483.2987059458992
