batch_size,epochs,learning_rate,units,Station,Direction,CV_RMSE_Scaled
32,100,0.001,64,Suvarnabhumi,Departure,0.8121919061056762
32,100,0.001,128,Suvarnabhumi,Departure,0.8500101872128211
32,200,0.01,32,Suvarnabhumi,Departure,1.409369764596999
32,200,0.01,64,Suvarnabhumi,Departure,1.124869334261758
32,200,0.01,128,Suvarnabhumi,Departure,1.3791552468891124
32,200,0.001,32,Suvarnabhumi,Departure,0.8341478697408099
32,200,0.001,64,Suvarnabhumi,Departure,0.9792251157441868
32,200,0.001,128,Suvarnabhumi,Departure,0.9930737147731614
64,50,0.01,32,Suvarnabhumi,Departure,0.8896773530403671
64,50,0.01,64,Suvarnabhumi,Departure,0.9468525337953358
64,50,0.01,128,Suvarnabhumi,Departure,0.9405603193217869
64,50,0.001,32,Suvarnabhumi,Departure,0.8280815298032994
64,50,0.001,64,Suvarnabhumi,Departure,0.8042145360130192
64,50,0.001,128,Suvarnabhumi,Departure,0.7871439435526945
64,100,0.01,32,Suvarnabhumi,Departure,1.1003512516265115
64,100,0.01,64,Suvarnabhumi,Departure,1.0952588739757485
64,100,0.01,128,Suvarnabhumi,Departure,1.064842532805237
64,100,0.001,32,Suvarnabhumi,Departure,0.7883760707340376
64,100,0.001,64,Suvarnabhumi,Departure,0.7794338223525438
64,100,0.001,128,Suvarnabhumi,Departure,0.8040261465584422
64,200,0.01,32,Suvarnabhumi,Departure,1.317880763399961
64,200,0.01,64,Suvarnabhumi,Departure,1.1873678632727633
64,200,0.01,128,Suvarnabhumi,Departure,1.2107291799845192
64,200,0.001,32,Suvarnabhumi,Departure,0.8054154052407073
64,200,0.001,64,Suvarnabhumi,Departure,0.8793387085104089
64,200,0.001,128,Suvarnabhumi,Departure,0.9610263638162232
16,50,0.01,32,Makkasan,Arrival,0.6799802538295198
16,50,0.01,64,Makkasan,Arrival,0.6326220311917096
16,50,0.01,128,Makkasan,Arrival,0.8485392868049765
16,50,0.001,32,Makkasan,Arrival,0.5655964885366617
16,50,0.001,64,Makkasan,Arrival,0.5550167804418183
16,50,0.001,128,Makkasan,Arrival,0.5522596230950907
16,100,0.01,32,Makkasan,Arrival,0.7091883949803851
16,100,0.01,64,Makkasan,Arrival,0.6932515547424073
16,100,0.01,128,Makkasan,Arrival,0.9189665989526584
16,100,0.001,32,Makkasan,Arrival,0.54580093672767
16,100,0.001,64,Makkasan,Arrival,0.5390904175647503
16,100,0.001,128,Makkasan,Arrival,0.551073049708464
16,200,0.01,32,Makkasan,Arrival,0.6446008996496402
16,200,0.01,64,Makkasan,Arrival,0.7296188181735562
16,200,0.01,128,Makkasan,Arrival,0.9215768542233986
16,200,0.001,32,Makkasan,Arrival,0.5586365992206351
16,200,0.001,64,Makkasan,Arrival,0.558242158907913
16,200,0.001,128,Makkasan,Arrival,0.5607952247639133
32,50,0.01,32,Makkasan,Arrival,0.7037178058768622
32,50,0.01,64,Makkasan,Arrival,0.6244913110369831
32,50,0.01,128,Makkasan,Arrival,0.6395576770031502
32,50,0.001,32,Makkasan,Arrival,0.5923268054704796
32,50,0.001,64,Makkasan,Arrival,0.5758161493539724
32,50,0.001,128,Makkasan,Arrival,0.5690283103690962
32,100,0.01,32,Makkasan,Arrival,0.6188041667965319
32,100,0.01,64,Makkasan,Arrival,0.6435123152403404
32,100,0.01,128,Makkasan,Arrival,0.6785084117797777
32,100,0.001,32,Makkasan,Arrival,0.5568946128276968
32,100,0.001,64,Makkasan,Arrival,0.5520514272676499
32,100,0.001,128,Makkasan,Arrival,0.5587837169669728
32,200,0.01,32,Makkasan,Arrival,0.6229707036341096
32,200,0.01,64,Makkasan,Arrival,0.6686169039815847
32,200,0.01,128,Makkasan,Arrival,0.7344636380495944
32,200,0.001,32,Makkasan,Arrival,0.5440031269719939
32,200,0.001,64,Makkasan,Arrival,0.554382323649467
32,200,0.001,128,Makkasan,Arrival,0.572246720089855
64,50,0.01,32,Makkasan,Arrival,0.5950320187387196
64,50,0.01,64,Makkasan,Arrival,0.6707196374599199
64,50,0.01,128,Makkasan,Arrival,0.7506481589767936
64,50,0.001,32,Makkasan,Arrival,0.6411747478184069
64,50,0.001,64,Makkasan,Arrival,0.6104039007069112
64,50,0.001,128,Makkasan,Arrival,0.5926977842011045
64,100,0.01,32,Makkasan,Arrival,0.6468130080402696
64,100,0.01,64,Makkasan,Arrival,0.6893423916206833
64,100,0.01,128,Makkasan,Arrival,0.7589572318242447
64,100,0.001,32,Makkasan,Arrival,0.5821026065837587
64,100,0.001,64,Makkasan,Arrival,0.5756043840245938
64,100,0.001,128,Makkasan,Arrival,0.5673056496049673
64,200,0.01,32,Makkasan,Arrival,0.6930943201987366
64,200,0.01,64,Makkasan,Arrival,0.7323287095641015
64,200,0.01,128,Makkasan,Arrival,0.8293889502487571
64,200,0.001,32,Makkasan,Arrival,0.557656860261376
64,200,0.001,64,Makkasan,Arrival,0.5570996296162404
64,200,0.001,128,Makkasan,Arrival,0.5700425560663088
16,50,0.01,32,Makkasan,Departure,0.5259327859921371
16,50,0.01,64,Makkasan,Departure,0.62531244722683
16,50,0.01,128,Makkasan,Departure,0.6828334461348119
16,50,0.001,32,Makkasan,Departure,0.515682891170472
16,50,0.001,64,Makkasan,Departure,0.5093121241624311
16,50,0.001,128,Makkasan,Departure,0.4969650217605408
16,100,0.01,32,Makkasan,Departure,0.5787174368762918
16,100,0.01,64,Makkasan,Departure,0.6804999523863868
16,100,0.01,128,Makkasan,Departure,0.7006491453971392
16,100,0.001,32,Makkasan,Departure,0.5022938566711574
16,100,0.001,64,Makkasan,Departure,0.4850940037317544
16,100,0.001,128,Makkasan,Departure,0.4888111524437105
16,200,0.01,32,Makkasan,Departure,0.5771629474552363
16,200,0.01,64,Makkasan,Departure,0.5894930804125736
16,200,0.01,128,Makkasan,Departure,0.7260226814651135
16,200,0.001,32,Makkasan,Departure,0.5485420175791037
16,200,0.001,64,Makkasan,Departure,0.5072560673084521
