batch_size,epochs,learning_rate,units,Station,Direction,CV_RMSE_Scaled
64,50,0.001,64,Suvarnabhumi,Departure,0.8586520071883386
64,50,0.001,128,Suvarnabhumi,Departure,0.8075433062783066
64,100,0.01,32,Suvarnabhumi,Departure,0.993250800315074
64,100,0.01,64,Suvarnabhumi,Departure,1.2789234276838108
64,100,0.01,128,Suvarnabhumi,Departure,1.1885106365121931
64,100,0.001,32,Suvarnabhumi,Departure,0.8096653146216978
64,100,0.001,64,Suvarnabhumi,Departure,0.8060655000465092
64,100,0.001,128,Suvarnabhumi,Departure,0.8383331099385914
64,200,0.01,32,Suvarnabhumi,Departure,1.2025153352849274
64,200,0.01,64,Suvarnabhumi,Departure,1.469143850762343
64,200,0.01,128,Suvarnabhumi,Departure,1.4172504187295356
64,200,0.001,32,Suvarnabhumi,Departure,0.8153396113513162
64,200,0.001,64,Suvarnabhumi,Departure,0.7977307915479503
64,200,0.001,128,Suvarnabhumi,Departure,1.0180790183245383
16,50,0.01,32,Makkasan,Arrival,0.8285952666076418
16,50,0.01,64,Makkasan,Arrival,0.8143445295381212
16,50,0.01,128,Makkasan,Arrival,0.9394716070574335
16,50,0.001,32,Makkasan,Arrival,0.5323416583939258
16,50,0.001,64,Makkasan,Arrival,0.5411464659636268
16,50,0.001,128,Makkasan,Arrival,0.5784466641406966
16,100,0.01,32,Makkasan,Arrival,0.9930398903462705
16,100,0.01,64,Makkasan,Arrival,0.7763139561789044
16,100,0.01,128,Makkasan,Arrival,1.0891178888701518
16,100,0.001,32,Makkasan,Arrival,0.5281685404071547
16,100,0.001,64,Makkasan,Arrival,0.5411366221381382
16,100,0.001,128,Makkasan,Arrival,0.6761282747063947
16,200,0.01,32,Makkasan,Arrival,0.9226768662835606
16,200,0.01,64,Makkasan,Arrival,0.9025143263242574
16,200,0.01,128,Makkasan,Arrival,1.086594584044133
16,200,0.001,32,Makkasan,Arrival,0.5932562243289567
16,200,0.001,64,Makkasan,Arrival,0.6069490727344903
16,200,0.001,128,Makkasan,Arrival,0.8091597850800439
32,50,0.01,32,Makkasan,Arrival,0.7667916412178871
32,50,0.01,64,Makkasan,Arrival,0.6454395175604434
32,50,0.01,128,Makkasan,Arrival,0.8860561302111928
32,50,0.001,32,Makkasan,Arrival,0.5706550381996777
32,50,0.001,64,Makkasan,Arrival,0.5670180093455408
32,50,0.001,128,Makkasan,Arrival,0.5701457402847759
32,100,0.01,32,Makkasan,Arrival,0.906268452709349
32,100,0.01,64,Makkasan,Arrival,0.7566942042056782
32,100,0.01,128,Makkasan,Arrival,0.9462340046984138
32,100,0.001,32,Makkasan,Arrival,0.5349523954233685
32,100,0.001,64,Makkasan,Arrival,0.5455201119707643
32,100,0.001,128,Makkasan,Arrival,0.5884661742967251
32,200,0.01,32,Makkasan,Arrival,0.935475602491942
32,200,0.01,64,Makkasan,Arrival,0.9826420424306059
32,200,0.01,128,Makkasan,Arrival,1.0409373868917378
32,200,0.001,32,Makkasan,Arrival,0.5496732337024909
32,200,0.001,64,Makkasan,Arrival,0.5801480203274291
32,200,0.001,128,Makkasan,Arrival,0.6917894957449734
64,50,0.01,32,Makkasan,Arrival,0.5918990231999969
64,50,0.01,64,Makkasan,Arrival,0.637187762258583
64,50,0.01,128,Makkasan,Arrival,0.9409560824798788
64,50,0.001,32,Makkasan,Arrival,0.6167858464529313
64,50,0.001,64,Makkasan,Arrival,0.5982507222187774
64,50,0.001,128,Makkasan,Arrival,0.5963268601170834
64,100,0.01,32,Makkasan,Arrival,0.7992845014679012
64,100,0.01,64,Makkasan,Arrival,0.782932747445367
64,100,0.01,128,Makkasan,Arrival,1.1214063492935922
64,100,0.001,32,Makkasan,Arrival,0.5428864124248521
64,100,0.001,64,Makkasan,Arrival,0.5517412422177661
64,100,0.001,128,Makkasan,Arrival,0.5861163133387938
64,200,0.01,32,Makkasan,Arrival,0.914728925291612
64,200,0.01,64,Makkasan,Arrival,0.9451381602100807
64,200,0.01,128,Makkasan,Arrival,1.2191749455548253
64,200,0.001,32,Makkasan,Arrival,0.5266745131337356
64,200,0.001,64,Makkasan,Arrival,0.5430952045733465
64,200,0.001,128,Makkasan,Arrival,0.6358429332250223
16,50,0.01,32,Makkasan,Departure,0.9888152035296862
16,50,0.01,64,Makkasan,Departure,0.7037175803397969
16,50,0.01,128,Makkasan,Departure,0.9346586409154508
16,50,0.001,32,Makkasan,Departure,0.5264152184376698
16,50,0.001,64,Makkasan,Departure,0.5141441332283897
16,50,0.001,128,Makkasan,Departure,0.48781356582195795
16,100,0.01,32,Makkasan,Departure,1.0982407683903948
16,100,0.01,64,Makkasan,Departure,0.7422398063669383
16,100,0.01,128,Makkasan,Departure,1.0262610081861905
16,100,0.001,32,Makkasan,Departure,0.5862050712767571
16,100,0.001,64,Makkasan,Departure,0.4973962601967223
16,100,0.001,128,Makkasan,Departure,0.5248502088495819
16,200,0.01,32,Makkasan,Departure,0.9590125749946897
16,200,0.01,64,Makkasan,Departure,0.7657759602753407
16,200,0.01,128,Makkasan,Departure,0.9924408142108773
16,200,0.001,32,Makkasan,Departure,0.756764681724651
16,200,0.001,64,Makkasan,Departure,0.5045927656754655
16,200,0.001,128,Makkasan,Departure,0.639019849713425
32,50,0.01,32,Makkasan,Departure,0.7964873371724067
32,50,0.01,64,Makkasan,Departure,0.6439635727467367
32,50,0.01,128,Makkasan,Departure,0.8129942973830441
32,50,0.001,32,Makkasan,Departure,0.548611599151358
32,50,0.001,64,Makkasan,Departure,0.5456568575349144
32,50,0.001,128,Makkasan,Departure,0.5030063797728509
32,100,0.01,32,Makkasan,Departure,0.8606488716838318
32,100,0.01,64,Makkasan,Departure,0.7218029165624574
32,100,0.01,128,Makkasan,Departure,0.8329027862387184
32,100,0.001,32,Makkasan,Departure,0.5118874790406576
32,100,0.001,64,Makkasan,Departure,0.5083385641203294
32,100,0.001,128,Makkasan,Departure,0.49596025205089295
32,200,0.01,32,Makkasan,Departure,0.8282748320732045
32,200,0.01,64,Makkasan,Departure,0.786343208503811
32,200,0.01,128,Makkasan,Departure,0.8539062276847263
32,200,0.001,32,Makkasan,Departure,0.5011202443240492
32,200,0.001,64,Makkasan,Departure,0.5007425940546929
32,200,0.001,128,Makkasan,Departure,0.5317321632320116
64,50,0.01,32,Makkasan,Departure,0.6847662884923637
64,50,0.01,64,Makkasan,Departure,0.57974815913739
64,50,0.01,128,Makkasan,Departure,0.7123570169944299
64,50,0.001,32,Makkasan,Departure,0.6083765976077015
64,50,0.001,64,Makkasan,Departure,0.5934152589711977
64,50,0.001,128,Makkasan,Departure,0.5455982389630633
64,100,0.01,32,Makkasan,Departure,0.8415826069645468
64,100,0.01,64,Makkasan,Departure,0.711663917971237
64,100,0.01,128,Makkasan,Departure,0.731777715049796
64,100,0.001,32,Makkasan,Departure,0.5466620677566171
64,100,0.001,64,Makkasan,Departure,0.5319726004213884
64,100,0.001,128,Makkasan,Departure,0.5022683820381743
64,200,0.01,32,Makkasan,Departure,0.8341947907347018
64,200,0.01,64,Makkasan,Departure,0.7927581672354794
64,200,0.01,128,Makkasan,Departure,0.8404088678494356
64,200,0.001,32,Makkasan,Departure,0.5707778587635164
64,200,0.001,64,Makkasan,Departure,0.5104024837228294
64,200,0.001,128,Makkasan,Departure,0.535138822661955
16,50,0.01,32,Ladkrabang,Arrival,0.8737452640621632
16,50,0.01,64,Ladkrabang,Arrival,0.7287939267525542
16,50,0.01,128,Ladkrabang,Arrival,0.9232186521471556
16,50,0.001,32,Ladkrabang,Arrival,0.6895302870218307
16,50,0.001,64,Ladkrabang,Arrival,0.6215584079018056
16,50,0.001,128,Ladkrabang,Arrival,0.6221794829290815
16,100,0.01,32,Ladkrabang,Arrival,0.9764136771699268
16,100,0.01,64,Ladkrabang,Arrival,0.7688187001673583
16,100,0.01,128,Ladkrabang,Arrival,0.7922337077889994
16,100,0.001,32,Ladkrabang,Arrival,0.7183638065786787
16,100,0.001,64,Ladkrabang,Arrival,0.6341249929043266
16,100,0.001,128,Ladkrabang,Arrival,0.6687780445554025
16,200,0.01,32,Ladkrabang,Arrival,0.8671328557580708
16,200,0.01,64,Ladkrabang,Arrival,0.74377263990794
16,200,0.01,128,Ladkrabang,Arrival,0.8449265615719774
16,200,0.001,32,Ladkrabang,Arrival,0.7272423025522192
16,200,0.001,64,Ladkrabang,Arrival,0.6555439701832078
16,200,0.001,128,Ladkrabang,Arrival,0.7019335031267574
32,50,0.01,32,Ladkrabang,Arrival,0.7759391364657825
32,50,0.01,64,Ladkrabang,Arrival,0.698167567571562
32,50,0.01,128,Ladkrabang,Arrival,0.8004152732384385
32,50,0.001,32,Ladkrabang,Arrival,0.7045659476139287
32,50,0.001,64,Ladkrabang,Arrival,0.6401181006671014
32,50,0.001,128,Ladkrabang,Arrival,0.6332529156461627
32,100,0.01,32,Ladkrabang,Arrival,0.8305210759854003
32,100,0.01,64,Ladkrabang,Arrival,0.7475401704071724
32,100,0.01,128,Ladkrabang,Arrival,0.7528880883403316
32,100,0.001,32,Ladkrabang,Arrival,0.7001822338498641
32,100,0.001,64,Ladkrabang,Arrival,0.6215665477236642
32,100,0.001,128,Ladkrabang,Arrival,0.6252077281752921
32,200,0.01,32,Ladkrabang,Arrival,0.8000952505411832
32,200,0.01,64,Ladkrabang,Arrival,0.7581465420694048
32,200,0.01,128,Ladkrabang,Arrival,0.8295897613846742
32,200,0.001,32,Ladkrabang,Arrival,0.7035949192056122
32,200,0.001,64,Ladkrabang,Arrival,0.6354549415927444
32,200,0.001,128,Ladkrabang,Arrival,0.6660060141445459
64,50,0.01,32,Ladkrabang,Arrival,0.7252728739981343
64,50,0.01,64,Ladkrabang,Arrival,0.6602100848716971
64,50,0.01,128,Ladkrabang,Arrival,0.704782439864487
64,50,0.001,32,Ladkrabang,Arrival,0.7467589915854935
64,50,0.001,64,Ladkrabang,Arrival,0.6815219138669623
64,50,0.001,128,Ladkrabang,Arrival,0.6533780028042857
64,100,0.01,32,Ladkrabang,Arrival,0.7782023541466411
64,100,0.01,64,Ladkrabang,Arrival,0.6968209092642882
64,100,0.01,128,Ladkrabang,Arrival,0.7613963195473316
64,100,0.001,32,Ladkrabang,Arrival,0.7157037069240624
64,100,0.001,64,Ladkrabang,Arrival,0.6336101073190153
64,100,0.001,128,Ladkrabang,Arrival,0.6320695365032943
64,200,0.01,32,Ladkrabang,Arrival,0.7913972592842117
64,200,0.01,64,Ladkrabang,Arrival,0.7802739939893081
64,200,0.01,128,Ladkrabang,Arrival,0.7894336849858052
64,200,0.001,32,Ladkrabang,Arrival,0.7201158602040705
64,200,0.001,64,Ladkrabang,Arrival,0.6210789737586556
64,200,0.001,128,Ladkrabang,Arrival,0.6443533208567275
16,50,0.01,32,Ladkrabang,Departure,0.6928010087169859
16,50,0.01,64,Ladkrabang,Departure,0.6890089442570974
16,50,0.01,128,Ladkrabang,Departure,0.6979845475316578
16,50,0.001,32,Ladkrabang,Departure,0.6514571242799534
16,50,0.001,64,Ladkrabang,Departure,0.6327458861724863
16,50,0.001,128,Ladkrabang,Departure,0.6513763352783336
16,100,0.01,32,Ladkrabang,Departure,0.7509094469719989
16,100,0.01,64,Ladkrabang,Departure,0.7527991871553098
16,100,0.01,128,Ladkrabang,Departure,0.7089752501362456
16,100,0.001,32,Ladkrabang,Departure,0.6299266747721289
16,100,0.001,64,Ladkrabang,Departure,0.6142477775972868
16,100,0.001,128,Ladkrabang,Departure,0.6942616979211284
16,200,0.01,32,Ladkrabang,Departure,0.7881519238682838
16,200,0.01,64,Ladkrabang,Departure,0.884131938069856
16,200,0.01,128,Ladkrabang,Departure,0.8289980125754933
16,200,0.001,32,Ladkrabang,Departure,0.63542968731213
16,200,0.001,64,Ladkrabang,Departure,0.6223167892485871
16,200,0.001,128,Ladkrabang,Departure,0.7578243777804476
32,50,0.01,32,Ladkrabang,Departure,0.6569296943596927
32,50,0.01,64,Ladkrabang,Departure,0.6659372380974636
32,50,0.01,128,Ladkrabang,Departure,0.6899271005209441
32,50,0.001,32,Ladkrabang,Departure,0.6709691926132083
32,50,0.001,64,Ladkrabang,Departure,0.6686139614227643
32,50,0.001,128,Ladkrabang,Departure,0.643914571657542
32,100,0.01,32,Ladkrabang,Departure,0.7180425610161697
32,100,0.01,64,Ladkrabang,Departure,0.7036672309817278
32,100,0.01,128,Ladkrabang,Departure,0.7230240071154008
32,100,0.001,32,Ladkrabang,Departure,0.6450261320526508
32,100,0.001,64,Ladkrabang,Departure,0.6366859120094739
32,100,0.001,128,Ladkrabang,Departure,0.6532857022025029
32,200,0.01,32,Ladkrabang,Departure,0.7808551880075182
32,200,0.01,64,Ladkrabang,Departure,0.7972928586469014
32,200,0.01,128,Ladkrabang,Departure,0.8101890649758673
32,200,0.001,32,Ladkrabang,Departure,0.631162814594212
32,200,0.001,64,Ladkrabang,Departure,0.6185346704063308
32,200,0.001,128,Ladkrabang,Departure,0.6998791025207004
64,50,0.01,32,Ladkrabang,Departure,0.6336155869050201
64,50,0.01,64,Ladkrabang,Departure,0.6435552651770928
64,50,0.01,128,Ladkrabang,Departure,0.6558890123380139
64,50,0.001,32,Ladkrabang,Departure,0.6951613539211022
64,50,0.001,64,Ladkrabang,Departure,0.7112927960255524
64,50,0.001,128,Ladkrabang,Departure,0.6502164804000925
64,100,0.01,32,Ladkrabang,Departure,0.6534457200638977
64,100,0.01,64,Ladkrabang,Departure,0.689189684918797
64,100,0.01,128,Ladkrabang,Departure,0.7567475250180559
64,100,0.001,32,Ladkrabang,Departure,0.6558526673152602
64,100,0.001,64,Ladkrabang,Departure,0.6632749947085995
64,100,0.001,128,Ladkrabang,Departure,0.6488843225574802
64,200,0.01,32,Ladkrabang,Departure,0.7476922447207589
64,200,0.01,64,Ladkrabang,Departure,0.729197489490241
64,200,0.01,128,Ladkrabang,Departure,0.8583579752409106
64,200,0.001,32,Ladkrabang,Departure,0.647178519492634
64,200,0.001,64,Ladkrabang,Departure,0.6302542546887517
64,200,0.001,128,Ladkrabang,Departure,0.6848213371731003
16,50,0.01,32,Banthapchang,Arrival,0.7407091338666795
16,50,0.01,64,Banthapchang,Arrival,0.5838246912072831
16,50,0.01,128,Banthapchang,Arrival,0.6022749260670542
16,50,0.001,32,Banthapchang,Arrival,0.5254030123139329
16,50,0.001,64,Banthapchang,Arrival,0.4967480944990668
16,50,0.001,128,Banthapchang,Arrival,0.485801705158497
16,100,0.01,32,Banthapchang,Arrival,0.6209262283370841
16,100,0.01,64,Banthapchang,Arrival,0.5697740749811331
16,100,0.01,128,Banthapchang,Arrival,0.6775168585674161
16,100,0.001,32,Banthapchang,Arrival,0.5483345045511778
16,100,0.001,64,Banthapchang,Arrival,0.4689491450242815
16,100,0.001,128,Banthapchang,Arrival,0.4911734970259634
16,200,0.01,32,Banthapchang,Arrival,0.587201190472447
16,200,0.01,64,Banthapchang,Arrival,0.6375473797802117
16,200,0.01,128,Banthapchang,Arrival,0.7123192150935718
16,200,0.001,32,Banthapchang,Arrival,0.5733344403268099
16,200,0.001,64,Banthapchang,Arrival,0.4642768822599943
16,200,0.001,128,Banthapchang,Arrival,0.49032978591876014
32,50,0.01,32,Banthapchang,Arrival,0.5894280135443254
32,50,0.01,64,Banthapchang,Arrival,0.5122735296528407
32,50,0.01,128,Banthapchang,Arrival,0.5895730695882436
32,50,0.001,32,Banthapchang,Arrival,0.5357190991998103
32,50,0.001,64,Banthapchang,Arrival,0.5335103511877503
32,50,0.001,128,Banthapchang,Arrival,0.5140450921223504
32,100,0.01,32,Banthapchang,Arrival,0.6164386659678458
32,100,0.01,64,Banthapchang,Arrival,0.4950617139772351
32,100,0.01,128,Banthapchang,Arrival,0.6298935802766744
32,100,0.001,32,Banthapchang,Arrival,0.5372284454621122
32,100,0.001,64,Banthapchang,Arrival,0.4860625921720878
32,100,0.001,128,Banthapchang,Arrival,0.4991013872441299
32,200,0.01,32,Banthapchang,Arrival,0.6067787969817254
32,200,0.01,64,Banthapchang,Arrival,0.5572744781924611
32,200,0.01,128,Banthapchang,Arrival,0.6050525599226049
32,200,0.001,32,Banthapchang,Arrival,0.5456656738083662
32,200,0.001,64,Banthapchang,Arrival,0.4701045126405454
32,200,0.001,128,Banthapchang,Arrival,0.5077941225798004
64,50,0.01,32,Banthapchang,Arrival,0.6039357142788505
64,50,0.01,64,Banthapchang,Arrival,0.5095037194165015
64,50,0.01,128,Banthapchang,Arrival,0.6070785829857918
64,50,0.001,32,Banthapchang,Arrival,0.5739589652230894
64,50,0.001,64,Banthapchang,Arrival,0.5844943975625903
64,50,0.001,128,Banthapchang,Arrival,0.5334153848182998
64,100,0.01,32,Banthapchang,Arrival,0.599049881029981
64,100,0.01,64,Banthapchang,Arrival,0.5057097816820512
64,100,0.01,128,Banthapchang,Arrival,0.6524321503700409
64,100,0.001,32,Banthapchang,Arrival,0.5371645279150633
64,100,0.001,64,Banthapchang,Arrival,0.5117149893653812
64,100,0.001,128,Banthapchang,Arrival,0.5034498391606791
64,200,0.01,32,Banthapchang,Arrival,0.6205507413215581
64,200,0.01,64,Banthapchang,Arrival,0.5485554262744506
64,200,0.01,128,Banthapchang,Arrival,0.698858437496536
64,200,0.001,32,Banthapchang,Arrival,0.5622382779649016
64,200,0.001,64,Banthapchang,Arrival,0.47932829917433767
64,200,0.001,128,Banthapchang,Arrival,0.5031947991604463
16,50,0.01,32,Banthapchang,Departure,0.5770504238580826
16,50,0.01,64,Banthapchang,Departure,0.6423029903205734
16,50,0.01,128,Banthapchang,Departure,0.5480683301911489
16,50,0.001,32,Banthapchang,Departure,0.47489184736752166
16,50,0.001,64,Banthapchang,Departure,0.4806497440953317
16,50,0.001,128,Banthapchang,Departure,0.48177215398044543
16,100,0.01,32,Banthapchang,Departure,0.621304746921903
16,100,0.01,64,Banthapchang,Departure,0.6271953150100937
16,100,0.01,128,Banthapchang,Departure,0.6655351242361562
16,100,0.001,32,Banthapchang,Departure,0.44758196035108516
16,100,0.001,64,Banthapchang,Departure,0.46393347712536287
16,100,0.001,128,Banthapchang,Departure,0.4851835237523463
16,200,0.01,32,Banthapchang,Departure,0.7096977573444686
16,200,0.01,64,Banthapchang,Departure,0.7059450005461986
16,200,0.01,128,Banthapchang,Departure,0.736858957986624
16,200,0.001,32,Banthapchang,Departure,0.45761919786429134
16,200,0.001,64,Banthapchang,Departure,0.4773504506727378
16,200,0.001,128,Banthapchang,Departure,0.5185728362120023
32,50,0.01,32,Banthapchang,Departure,0.5040085019810934
32,50,0.01,64,Banthapchang,Departure,0.5381994568693995
32,50,0.01,128,Banthapchang,Departure,0.5582843200816335
32,50,0.001,32,Banthapchang,Departure,0.5184226456836267
32,50,0.001,64,Banthapchang,Departure,0.5046855833935071
32,50,0.001,128,Banthapchang,Departure,0.4921967138496994
32,100,0.01,32,Banthapchang,Departure,0.6215270774836448
32,100,0.01,64,Banthapchang,Departure,0.5926942198913862
32,100,0.01,128,Banthapchang,Departure,0.5923403300832674
32,100,0.001,32,Banthapchang,Departure,0.46769662271756535
32,100,0.001,64,Banthapchang,Departure,0.4728627902715619
32,100,0.001,128,Banthapchang,Departure,0.4862456871358954
32,200,0.01,32,Banthapchang,Departure,0.617539520234658
32,200,0.01,64,Banthapchang,Departure,0.6915580421982894
32,200,0.01,128,Banthapchang,Departure,0.7034919530226666
32,200,0.001,32,Banthapchang,Departure,0.4536192521137496
32,200,0.001,64,Banthapchang,Departure,0.48084139014673255
32,200,0.001,128,Banthapchang,Departure,0.5142366605418597
64,50,0.01,32,Banthapchang,Departure,0.48816030903615876
64,50,0.01,64,Banthapchang,Departure,0.5268207283678913
64,50,0.01,128,Banthapchang,Departure,0.5328679093675147
64,50,0.001,32,Banthapchang,Departure,0.5770923970930232
64,50,0.001,64,Banthapchang,Departure,0.54641633100254
64,50,0.001,128,Banthapchang,Departure,0.520397000600307
64,100,0.01,32,Banthapchang,Departure,0.5391759776850036
64,100,0.01,64,Banthapchang,Departure,0.5706452289530269
64,100,0.01,128,Banthapchang,Departure,0.5728229420483121
64,100,0.001,32,Banthapchang,Departure,0.5028507418847533
64,100,0.001,64,Banthapchang,Departure,0.4920239941723139
64,100,0.001,128,Banthapchang,Departure,0.48492041155013005
64,200,0.01,32,Banthapchang,Departure,0.5882391512329421
64,200,0.01,64,Banthapchang,Departure,0.596887425255426
64,200,0.01,128,Banthapchang,Departure,0.6728080422253636
64,200,0.001,32,Banthapchang,Departure,0.47485477206453236
64,200,0.001,64,Banthapchang,Departure,0.4815746654783415
64,200,0.001,128,Banthapchang,Departure,0.488580502134371
16,50,0.01,32,Huamak,Arrival,0.5992126893079971
16,50,0.01,64,Huamak,Arrival,0.6917231142067056
16,50,0.01,128,Huamak,Arrival,0.7872465113949415
16,50,0.001,32,Huamak,Arrival,0.5770993392501156
16,50,0.001,64,Huamak,Arrival,0.5692054606708452
16,50,0.001,128,Huamak,Arrival,0.5502246091912207
16,100,0.01,32,Huamak,Arrival,0.6371575384996374
16,100,0.01,64,Huamak,Arrival,0.7166189909654609
16,100,0.01,128,Huamak,Arrival,0.658239828001658
16,100,0.001,32,Huamak,Arrival,0.6178325370043878
16,100,0.001,64,Huamak,Arrival,0.5595909680412223
16,100,0.001,128,Huamak,Arrival,0.5982942837565663
16,200,0.01,32,Huamak,Arrival,0.7788750202142828
16,200,0.01,64,Huamak,Arrival,0.8137369746743993
16,200,0.01,128,Huamak,Arrival,0.7386199561204218
16,200,0.001,32,Huamak,Arrival,0.6222090492089462
